symbol,name,industry,market_price,price_date,report_quarter,pe_ratio,value_score,eps_yoy,growth_score,avg_revenue_yoy_3m,momentum_score,op_margin,profit_score,cash_quality,quality_score,equity_to_assets_ratio,safety_score,total_score
2303,聯電,半導體業,40.8,2022-12-28,2022Q3,6.05,95.54455445544554,69.94,100.0,25.403333333333336,100.0,38.24897923028232,100.0,1.5397612098598668,100.0,60.6111055362373,100.0,99.55445544554455
8046,南電,電子零組件業,231.5,2022-12-28,2022Q3,8.39,67.33990147783251,102.94,100.0,24.580000000000002,100.0,35.39383059101425,100.0,1.8061740468876104,100.0,63.5012218320686,100.0,96.73399014778325
6581,鋼聯,綠能環保,91.5,2022-12-28,2022Q3,10.05,73.22383498854087,145.13,100.0,45.76666666666666,100.0,47.4347958876258,100.0,1.1532251237990434,93.31787482843478,86.6023652066652,100.0,95.98595846454106
3532,台勝科,半導體業,136.5,2022-12-28,2022Q3,12.58,36.768676867686764,272.45,100.0,41.06666666666667,100.0,31.97713613878414,100.0,2.6983340646830234,100.0,69.7660036369312,100.0,93.67686768676867
3056,富華新,建材營造業,31.1,2022-12-28,2022Q3,5.53,100.0,98.77,100.0,20936.64,100.0,28.524053893118328,100.0,2.0716547974685335,100.0,33.4397995720953,33.599498930238255,93.35994989302382
3037,欣興,電子零組件業,120.0,2022-12-28,2022Q3,6.51,85.86206896551725,169.46,100.0,33.18333333333333,100.0,27.527511070719562,100.0,2.096196828207964,100.0,37.5793411897016,43.948352974254,92.98104219397713
2330,台積電,半導體業,451.0,2022-12-28,2022Q3,13.19,31.278127812781275,67.51,100.0,47.623333333333335,100.0,48.59971928845816,100.0,1.559362514988217,100.0,58.9661073947094,97.41526848677348,92.86933962995548
2534,宏盛,建材營造業,22.15,2022-12-28,2022Q3,9.04,70.73651907058309,56.3,100.0,173.84,100.0,30.6888453175105,100.0,1.2821381149634001,100.0,41.4341456480899,53.58536412022475,92.43218831908078
2607,榮運,航運業,28.5,2022-12-28,2022Q3,9.11,59.35323383084579,322.73,100.0,75.61999999999999,100.0,19.377919230149956,71.88959615074978,1.2523288892534579,100.0,69.0503838683724,100.0,91.71876280569705
5519,隆大,建材營造業,22.45,2022-12-28,2022Q3,4.99,100.0,133.08,100.0,49.553333333333335,100.0,21.407421376957014,82.03710688478508,1.1592270829658375,94.17529756654822,41.573645879058,53.934114697645,91.53403701579191
2722,夏都,觀光餐旅,34.15,2022-12-28,2022Q3,22.18,80.51378446115288,1046.15,100.0,13.36,66.8,24.875512197242713,99.37756098621357,1.500283793223891,100.0,68.2121676507865,100.0,91.31801259404733
3008,大立光,光電業,2110.0,2022-12-28,2022Q3,11.86,66.53764954257566,38.11,76.22,22.21666666666667,100.0,40.85696399552124,100.0,1.8358695963635783,100.0,84.2575348942645,100.0,90.70876495425757
1786,科妍,生技醫療業,56.1,2022-12-28,2022Q3,26.97,36.965632858340314,46.96,93.92,43.586666666666666,100.0,23.015188147357986,90.07594073678993,1.261507190043595,100.0,61.9907030158201,100.0,90.68795439635252
4768,晶呈科技,化學工業,149.0,2022-12-28,2022Q3,0.0,0.0,167.66,100.0,114.82333333333334,100.0,30.13336417098264,100.0,1.7646023505068793,100.0,61.0,100.0,90.0
