symbol,name,industry,price_date,market_price,report_quarter,pe_ratio,value_score,eps_yoy,growth_score,avg_revenue_yoy_3m,momentum_score,op_margin,profit_score,cash_quality,quality_score,equity_to_assets_ratio,safety_score,total_score
2330,台積電,半導體業,2025-12-26,1510.0,2025Q3,24.68,74.54906756343625,51.79,100.0,24.27,100.0,49.62747751852509,100.0,1.2782917652347716,100.0,67.9661979400856,100.0,97.45490675634363
5519,隆大,建材營造業,2025-12-26,33.95,2025Q3,5.35,100.0,130.48,100.0,37.17666666666667,100.0,26.265415630207073,100.0,1.545180362324291,100.0,40.3109589202024,50.77739730050601,95.0777397300506
6596,寬宏藝術,文化創意業,2025-12-26,139.0,2025Q3,0.0,0.0,241.37,100.0,43.99,100.0,29.603269210573345,100.0,1.6712841094888526,100.0,62.0,100.0,90.0
8932,智通*,其他業,2025-12-26,172.5,2025Q3,0.0,0.0,184.31,100.0,33.71333333333333,100.0,47.635703963492176,100.0,1.1456961894692983,92.24231278132834,70.0,100.0,88.44846255626567
2059,川湖,電子零組件業,2025-12-26,3690.0,2025Q3,41.47,0.0,58.13,100.0,69.97333333333334,100.0,69.02964541455992,100.0,1.1210539601320202,88.72199430457431,80.4026412042067,100.0,87.74439886091486
2505,國揚,建材營造業,2025-12-26,19.75,2025Q3,11.76,50.0,305.26,100.0,3402.5966666666664,100.0,19.65753780453463,73.28768902267315,1.5176604134305174,100.0,46.709478239137,66.7736955978425,87.67052291318522
2528,皇普,建材營造業,2025-12-26,30.65,2025Q3,4.41,100.0,529.11,100.0,804059.8733333334,100.0,16.28337276052348,56.4168638026174,3.1238807182209456,100.0,32.9420019058462,32.355004764615494,86.69803004685416
8473,山林水,綠能環保,2025-12-26,36.65,2025Q3,17.54,58.11943425877423,118.09,100.0,143.57,100.0,18.268295376412528,66.34147688206265,1.718773628821983,100.0,41.6251274078191,54.06281851954775,86.16944681014161
4417,金洲,紡織纖維,2025-12-26,54.2,2025Q3,0.0,0.0,56.86,100.0,24.38,100.0,20.50370864094234,77.5185432047117,1.5906153135922971,100.0,58.0,95.0,86.12778148070676
3081,聯亞,通信網路業,2025-12-26,607.0,2025Q3,0.0,0.0,480.88,100.0,97.12666666666667,100.0,19.062612150730583,70.3130607536529,2.1261278290236403,100.0,84.0,100.0,85.54695911304793
8028,昇陽半導體,半導體業,2025-12-26,172.5,2025Q3,41.07,24.442066646285543,82.25,100.0,19.34,96.7,21.511026066363677,82.55513033181839,1.8629380357948564,100.0,44.0458012706048,60.11450317651199,85.17892653205251
5607,遠雄港,航運業,2025-12-26,48.9,2025Q3,18.95,31.302849984340742,43.92,87.84,24.073333333333334,100.0,38.0584600800091,100.0,1.765958203284717,100.0,39.7031130459002,49.257782614750504,85.01606325990913
