symbol,name,industry,price_date,market_price,report_quarter,pe_ratio,value_score,eps_yoy,growth_score,avg_revenue_yoy_3m,momentum_score,op_margin,profit_score,cash_quality,quality_score,equity_to_assets_ratio,safety_score,total_score
6919,康霈*,生技醫療業,2025-04-28,638.0,2024Q4,0.0,0.0,-4.57,0.0,-100.0,0.0,-1613.9532790205699,0.0,0.0,0.0,99.245740267112,100.0,10.0
2485,兆赫,通信網路業,2025-04-28,11.65,2024Q4,0.0,0.0,-882.61,0.0,-54.723333333333336,0.0,-33.273842358493454,0.0,0.0,0.0,77.4538582147576,100.0,10.0
8024,佑華,半導體業,2025-04-28,14.35,2024Q4,0.0,0.0,-33.72,0.0,-11.016666666666666,0.0,-33.080582680257784,0.0,0.0,0.0,92.0,100.0,10.0
6598,ABC-KY,生技醫療業,2025-04-28,18.9,2024Q4,0.0,0.0,-43.28,0.0,0.0,0.0,-81.00831909894889,0.0,0.0,0.0,72.3375218741923,100.0,10.0
3002,歐格,電腦及週邊設備業,2025-04-28,13.2,2024Q4,264.0,0.0,-54.55,0.0,-0.006666666666666525,0.0,-5.962075206793308,0.0,-13.897625830959164,0.0,68.0908524794337,100.0,10.0
4188,安克,生技醫療業,2025-04-28,13.5,2024Q4,0.0,0.0,-3.53,0.0,-12.756666666666668,0.0,-121.76631202334998,0.0,0.0,0.0,82.0,100.0,10.0
6129,普誠,半導體業,2025-04-28,11.9,2024Q4,0.0,0.0,-403.03,0.0,-27.37,0.0,-22.639826140646775,0.0,0.0,0.0,79.0,100.0,10.0
3518,柏騰,其他電子業,2025-04-28,18.1,2024Q4,0.0,0.0,-305.08,0.0,-0.7233333333333342,0.0,-41.18479596593076,0.0,0.0,0.0,66.6297618240551,100.0,10.0
5202,力新,資訊服務業,2025-04-28,27.75,2024Q4,0.0,0.0,-3.31,0.0,-12.453333333333333,0.0,-22.953152096919958,0.0,-1.0406231322420807,0.0,93.0,100.0,10.0
6101,寬魚國際,文化創意業,2025-04-28,38.5,2024Q4,0.0,0.0,-49.09,0.0,-46.199999999999996,0.0,0.7110713131145524,0.0,-3.8360640301318267,0.0,93.0,100.0,10.0
6144,得利影,文化創意業,2025-04-28,23.1,2024Q4,0.0,0.0,-18.75,0.0,-8.363333333333335,0.0,-15.150782781492522,0.0,0.0,0.0,87.0,100.0,10.0
6785,昱展新藥,生技醫療業,2025-04-28,125.5,2024Q4,0.0,0.0,-95.98,0.0,0.0,0.0,-1168.024755028365,0.0,-2.073087506879472,0.0,97.0,100.0,10.0
8937,合騏,其他業,2025-04-28,133.0,2024Q4,0.0,0.0,-39.44,0.0,-15.873333333333333,0.0,-41.24069328400079,0.0,-1.0905100143279578,0.0,62.0,100.0,10.0
2323,中環,光電業,2025-04-28,7.86,2024Q4,0.0,0.0,-116.77,0.0,-2.4533333333333336,0.0,-5.217517847240613,0.0,0.0,0.0,67.6789713145539,100.0,10.0
1417,嘉裕,紡織纖維,2025-04-28,7.84,2024Q4,0.0,0.0,-118.92,0.0,-76.49333333333334,0.0,-41.463916021777045,0.0,0.0,0.0,79.9127824361871,100.0,10.0
6804,明係,運動休閒,2025-04-28,25.2,2024Q4,0.0,0.0,-159.12,0.0,-23.533333333333335,0.0,-7.710825067532963,0.0,0.0,0.0,66.0,100.0,10.0
6109,亞元,通信網路業,2025-04-28,10.1,2024Q4,0.0,0.0,-689.29,0.0,-17.75,0.0,-16.467844962277535,0.0,0.0,0.0,69.0,100.0,10.0
8477,創業家,數位雲端,2025-04-28,12.3,2024Q4,0.0,0.0,-2.83,0.0,-50.39000000000001,0.0,-11.546836738298365,0.0,0.0,0.0,74.0,100.0,10.0
1308,亞聚,塑膠工業,2025-04-28,12.95,2024Q4,0.0,0.0,-730.0,0.0,-0.33999999999999986,0.0,-1.8145775696180537,0.0,0.0,0.0,84.4476670007699,100.0,10.0
4989,榮科,電子零組件業,2025-04-28,14.75,2024Q4,0.0,0.0,-128.87,0.0,-35.11333333333334,0.0,-13.633888671017708,0.0,0.0,0.0,80.1066592426789,100.0,10.0
3054,立萬利,食品工業,2025-04-28,24.2,2024Q4,0.0,0.0,-766.67,0.0,-47.13333333333333,0.0,-37.66388317398846,0.0,0.0,0.0,95.0476464581053,100.0,10.0
3055,蔚華科,電子通路業,2025-04-28,51.0,2024Q4,0.0,0.0,-355.1,0.0,-60.49666666666667,0.0,-39.768414892621564,0.0,0.0,0.0,80.1885686114002,100.0,10.0
4529,淳紳,其他業,2025-04-28,4.1,2024Q4,0.0,0.0,-26.21,0.0,-15.423333333333334,0.0,-844.8631145128054,0.0,0.0,0.0,92.0,100.0,10.0
2939,永邑-KY,貿易百貨業,2025-04-28,29.25,2024Q4,0.0,0.0,-68.18,0.0,0.0,0.0,-38.375016146500926,0.0,0.0,0.0,73.3876618017658,100.0,10.0
6225,天瀚,光電業,2025-04-28,12.6,2024Q4,0.0,0.0,-122.58,0.0,-9.263333333333335,0.0,-2.285166688166891,0.0,0.0,0.0,68.5380090081809,100.0,10.0
4934,太極,光電業,2025-04-28,9.95,2024Q4,0.0,0.0,-1492.31,0.0,-76.81333333333333,0.0,-202.68255806997223,0.0,0.0,0.0,66.350780740111,100.0,10.0
6443,元晶,光電業,2025-04-28,15.95,2024Q4,0.0,0.0,-209.35,0.0,-35.26,0.0,-12.88005497541215,0.0,0.0,0.0,66.1715257551354,100.0,10.0
6441,廣錠,電腦及週邊設備業,2025-04-28,23.55,2024Q4,0.0,0.0,-86.62,0.0,-18.71,0.0,-28.988004567925685,0.0,0.0,0.0,69.0,100.0,10.0
4949,有成精密,光電業,2025-04-28,52.2,2024Q4,0.0,0.0,-143.75,0.0,-4.0200000000000005,0.0,-3.9227220721251803,0.0,0.0,0.0,78.3316249240287,100.0,10.0
8171,天宇,綠能環保,2025-04-28,35.3,2024Q4,0.0,0.0,-158.0,0.0,-72.27333333333333,0.0,-17.918261764931014,0.0,0.0,0.0,66.0,100.0,10.0
