symbol,name,industry,market_price,price_date,report_quarter,pe_ratio,value_score,eps_yoy,growth_score,avg_revenue_yoy_3m,momentum_score,op_margin,profit_score,cash_quality,quality_score,equity_to_assets_ratio,safety_score,total_score
2609,陽明,航運業,120.5,2022-04-28,2021Q4,2.55,100.0,980.49,100.0,71.31,100.0,60.95061397209805,100.0,1.2680855860919957,100.0,60.7912637657813,100.0,100.0
2615,萬海,航運業,142.0,2022-04-28,2021Q4,3.35,100.0,812.72,100.0,107.63666666666666,100.0,55.99576208381297,100.0,1.2831701232947692,100.0,55.9898184119831,89.97454602995776,98.99745460299577
2603,長榮,航運業,138.0,2022-04-28,2021Q4,3.06,100.0,800.59,100.0,90.17333333333333,100.0,58.20560285925882,100.0,1.2595799441089144,100.0,53.4812711443498,83.70317786087449,98.37031778608745
8016,矽創,半導體業,249.5,2022-04-28,2021Q4,4.98,100.0,333.91,100.0,41.660000000000004,100.0,36.6508714408508,100.0,1.4022423473465473,100.0,51.8470895735445,79.61772393386126,97.96177239338613
2337,旺宏,半導體業,37.75,2022-04-28,2021Q4,5.01,100.0,123.45,100.0,20.633333333333333,100.0,21.877497813012482,84.38748906506241,1.3471784389003651,100.0,60.9124222370745,100.0,97.65812335975936
6202,盛群,半導體業,93.4,2022-04-28,2021Q4,9.56,75.54517133956385,98.25,100.0,36.580000000000005,100.0,24.89342359089474,99.46711795447371,1.3233734364481737,100.0,66.2097679109599,100.0,97.47458482712744
2617,台航,航運業,36.2,2022-04-28,2021Q4,11.46,73.95487723954876,154.84,100.0,25.166666666666668,100.0,34.46413405327663,100.0,1.4219330531192313,100.0,67.1676046636809,100.0,97.39548772395487
2303,聯電,半導體業,48.5,2022-04-28,2021Q4,9.29,77.64797507788163,88.84,100.0,34.75,100.0,24.264606819540198,96.32303409770098,1.6197826811655844,100.0,60.5003243880616,100.0,97.2132526224433
3034,聯詠,半導體業,382.5,2022-04-28,2021Q4,5.28,100.0,228.89,100.0,39.00666666666667,100.0,35.291936624033696,100.0,1.073471011352982,81.92443019328314,58.4207235386415,96.05180884660373,95.990066923317
4770,上品,化學工業,248.5,2022-04-28,2021Q4,20.2,54.627006610009445,82.22,100.0,95.10000000000001,100.0,31.14975173016789,100.0,1.5356231055255267,100.0,67.9183846907692,100.0,95.46270066100095
