symbol,name,industry,market_price,price_date,report_quarter,pe_ratio,value_score,eps_yoy,growth_score,avg_revenue_yoy_3m,momentum_score,op_margin,profit_score,cash_quality,quality_score,equity_to_assets_ratio,safety_score,total_score
1722,台肥,化學工業,58.9,2023-09-28,2023Q2,13.67,80.57389537836465,100.63,100.0,51.25333333333333,100.0,25.12547549568143,100.0,1.2825226832779872,100.0,64.4078693751518,100.0,98.05738953783647
9943,好樂迪,觀光餐旅,89.0,2023-09-28,2023Q2,14.5,92.50594766058683,265.49,100.0,23.456666666666667,100.0,25.01589789645728,100.0,1.064865628002933,80.69508971470472,63.0264050191577,100.0,95.38961270899962
9942,茂順,其他業,134.0,2023-09-28,2023Q2,12.69,75.3529411764706,86.44,100.0,21.069999999999997,100.0,27.254858110395645,100.0,1.0463604315039372,78.05149021484817,65.8556315867843,100.0,93.14559216061669
2707,晶華,觀光餐旅,214.0,2023-09-28,2023Q2,21.49,64.7898493259318,107.49,100.0,26.223333333333333,100.0,27.50726094175156,100.0,2.2809936919696647,100.0,37.3684706979441,43.42117674486025,90.8211026070792
2910,統領,貿易百貨業,27.0,2023-09-28,2023Q2,28.42,47.806544408486154,266.67,100.0,49.22,100.0,33.37599445405431,100.0,1.2129289056069021,100.0,44.0447130588313,60.11178264707825,90.79183270555644
2718,晶悅,建材營造業,46.3,2023-09-28,2023Q2,0.0,0.0,3022.73,100.0,1631.7166666666665,100.0,37.738821331631144,100.0,1.7806183987183295,100.0,59.0,97.5,89.75
1796,金穎生技,食品工業,90.1,2023-09-28,2023Q2,0.0,0.0,51.22,100.0,33.46333333333333,100.0,22.761905907543515,88.80952953771757,1.3303786329873961,100.0,67.0,100.0,88.32142943065763
1108,幸福,水泥工業,14.4,2023-09-28,2023Q2,8.47,78.6436394271272,64.29,100.0,25.98,100.0,14.029765944873493,45.14882972436746,1.311155658516643,100.0,49.482687976409,73.7067199410225,87.00736039547009
8446,華研,文化創意業,101.5,2023-09-28,2023Q2,0.0,0.0,56.92,100.0,23.66,100.0,42.75030450227719,100.0,2.028302965617138,100.0,48.0,70.0,87.0
2542,興富發,建材營造業,39.45,2023-09-28,2023Q2,15.29,59.473060982830084,49.21,98.42,1621.3733333333332,100.0,26.774767042485838,100.0,1.6378863842218736,100.0,19.7505286122131,0.0,85.55230609828301
