symbol,name,industry,market_price,price_date,report_quarter,pe_ratio,value_score,eps_yoy,growth_score,avg_revenue_yoy_3m,momentum_score,op_margin,profit_score,cash_quality,quality_score,equity_to_assets_ratio,safety_score,total_score
2609,陽明,航運業,91.7,2022-06-28,2022Q1,1.59,100.0,131.64,100.0,63.68333333333334,100.0,67.76251541504863,100.0,1.263925783520477,100.0,63.6721965809063,100.0,100.0
2615,萬海,航運業,128.0,2022-06-28,2022Q1,2.42,100.0,176.41,100.0,73.51333333333334,100.0,60.68960991360694,100.0,1.3829444732124192,100.0,59.49080753851,98.727018846275,99.8727018846275
2603,長榮,航運業,108.5,2022-06-28,2022Q1,1.89,100.0,172.16,100.0,85.41333333333334,100.0,67.2048354186498,100.0,1.2214260423133845,100.0,57.6237973330683,94.05949333267077,99.40594933326707
2303,聯電,半導體業,41.85,2022-06-28,2022Q1,8.02,81.21783876500858,89.41,100.0,38.166666666666664,100.0,35.214749202258744,100.0,1.5205221649236011,100.0,62.5358278005601,100.0,98.12178387650086
2617,台航,航運業,30.95,2022-06-28,2022Q1,9.16,72.96047098402019,59.46,100.0,20.343333333333334,100.0,28.17631351586841,100.0,1.9638959338951159,100.0,65.92613032562,100.0,97.29604709840201
5533,皇鼎,建材營造業,17.7,2022-06-28,2022Q1,3.24,100.0,448.72,100.0,823.0633333333334,100.0,20.09710603937781,75.48553019688904,2.5769566520519316,100.0,67.6872234217525,100.0,96.32282952953335
1708,東鹼,化學工業,48.2,2022-06-28,2022Q1,12.08,84.16893732970027,619.05,100.0,81.81666666666666,100.0,27.87255319048733,100.0,2.001740831973725,100.0,46.3025369976747,65.75634249418675,94.9925279823887
2449,京元電子,半導體業,41.4,2022-06-28,2022Q1,8.66,75.72898799313894,58.51,100.0,20.61,100.0,25.554348325776616,100.0,2.5271967537800104,100.0,48.6350329908443,71.58758247711076,94.73165704702497
8046,南電,電子零組件業,289.5,2022-06-28,2022Q1,14.53,36.7498051441933,145.31,100.0,23.063333333333333,100.0,32.87039831667485,100.0,1.4860647004510523,100.0,73.188547733688,100.0,93.67498051441933
5534,長虹,建材營造業,73.1,2022-06-28,2022Q1,9.16,67.02898550724636,483.78,100.0,448.4866666666667,100.0,42.096077464992895,100.0,1.6052453259373067,100.0,47.1901610566453,67.97540264161326,93.50043881488597
6581,鋼聯,綠能環保,85.5,2022-06-28,2022Q1,14.52,69.82330204307013,137.29,100.0,93.46,100.0,44.52182733301485,100.0,1.0725831261055707,81.79758944365297,74.9976376601329,100.0,93.34184809303761
5608,四維航,航運業,33.8,2022-06-28,2022Q1,4.51,100.0,992.86,100.0,74.06666666666666,100.0,44.05856095300828,100.0,1.957650219019807,100.0,32.3174062325817,30.793515581454255,93.07935155814542
6770,力積電,半導體業,42.8,2022-06-28,2022Q1,9.55,68.09605488850772,172.06,100.0,46.92666666666667,100.0,40.170567268553654,100.0,1.1279344335971184,89.70491908530263,50.5046780753434,76.2616951883585,92.37675882474716
2520,冠德,建材營造業,34.2,2022-06-28,2022Q1,4.88,100.0,54.55,100.0,25.939999999999998,100.0,23.325758620627347,91.62879310313674,2.3730103389514126,100.0,33.6158257603582,34.03956440089549,92.14827540556006
1526,日馳,電機機械,46.85,2022-06-28,2022Q1,9.37,94.45761707172497,68.89,100.0,31.676666666666666,100.0,18.476954533393688,67.38477266696844,1.691437980241493,100.0,46.9852425787293,67.46310644682325,91.29978825190008
2534,宏盛,建材營造業,25.75,2022-06-28,2022Q1,11.44,46.376811594202906,127.03,100.0,52.693333333333335,100.0,34.979067753111764,100.0,1.5727750437901409,100.0,42.1259533600964,55.31488340024101,90.1691694994444
3265,台星科,半導體業,50.5,2022-06-28,2022Q1,0.0,0.0,351.35,100.0,57.4,100.0,25.988601689157193,100.0,1.2216032310461389,100.0,74.0,100.0,90.0
6799,來頡,半導體業,152.0,2022-06-28,2022Q1,20.24,0.0,64.58,100.0,38.60666666666666,100.0,32.368094856513245,100.0,1.2552810639005862,100.0,60.7751732589238,100.0,90.0
3490,單井,光電業,26.0,2022-06-28,2022Q1,0.0,0.0,280.0,100.0,27.97666666666667,100.0,27.256505966399235,100.0,1.5690279454089686,100.0,73.0,100.0,90.0
4728,雙美,生技醫療業,120.0,2022-06-28,2022Q1,0.0,0.0,110.34,100.0,29.73333333333333,100.0,61.7070805043647,100.0,1.4346292410328152,100.0,72.0,100.0,90.0
6485,點序,半導體業,89.6,2022-06-28,2022Q1,0.0,0.0,168.6,100.0,29.05,100.0,32.71494085967153,100.0,1.272280065967823,100.0,77.0,100.0,90.0
1762,中化生,生技醫療業,54.0,2022-06-28,2022Q1,9.73,100.0,29.92,59.84,78.74333333333334,100.0,27.725614316037557,100.0,1.3657078848835205,100.0,64.9553407609588,100.0,89.96000000000001
6532,瑞耘,半導體業,44.15,2022-06-28,2022Q1,0.0,0.0,90.91,100.0,28.476666666666663,100.0,32.53655281198811,100.0,1.1707413980345933,95.82019971922763,71.0,100.0,89.16403994384552
2606,裕民,航運業,43.5,2022-06-28,2022Q1,6.82,92.64087468460892,143.9,100.0,13.663333333333332,68.31666666666666,28.82574276473916,100.0,1.8626660499098586,100.0,42.9253234929863,57.31330873246575,88.65875167504079
3035,智原,半導體業,190.0,2022-06-28,2022Q1,28.53,0.0,297.06,100.0,97.77666666666669,100.0,22.935377294505972,89.67688647252986,1.5204310256039,100.0,59.7656621753047,99.41415543826174,88.39294851470567
8155,博智,電子零組件業,125.5,2022-06-28,2022Q1,0.0,0.0,89.78,100.0,35.48,100.0,22.392478226614028,86.96239113307014,1.9314661804091402,100.0,61.0,100.0,88.04435866996052
3189,景碩,半導體業,144.0,2022-06-28,2022Q1,12.65,41.50943396226414,494.74,100.0,36.303333333333335,100.0,20.713404756158194,78.56702378079096,1.4204513653684703,100.0,47.2678358882989,68.16958972074725,87.75295593541978
8091,翔名,半導體業,74.5,2022-06-28,2022Q1,0.0,0.0,232.31,100.0,28.97666666666667,100.0,24.465884145635624,97.32942072817812,1.1329423874730964,90.42034106758521,74.0,100.0,87.68348132274376
6756,威鋒電子,半導體業,269.5,2022-06-28,2022Q1,18.75,0.0,54.38,100.0,25.256666666666664,100.0,29.688488354738062,100.0,1.106662329392874,86.66604705612485,60.7864232526785,100.0,87.33320941122497
6146,耕興,其他電子業,176.0,2022-06-28,2022Q1,0.0,0.0,44.19,88.38,22.883333333333336,100.0,36.30881936293358,100.0,1.263347209087556,100.0,71.0,100.0,87.095
2484,希華,電子零組件業,36.25,2022-06-28,2022Q1,11.73,58.57365549493374,116.67,100.0,15.160000000000002,75.80000000000001,19.766785940821297,73.83392970410648,1.2570344877729576,100.0,68.0977863526619,100.0,87.09245500510936
2330,台積電,半導體業,497.5,2022-06-28,2022Q1,19.56,0.0,45.08,90.16,51.153333333333336,100.0,45.57139340461958,100.0,1.8357629685057402,100.0,57.9668800914702,94.9172002286755,87.03172002286755
3037,欣興,電子零組件業,161.0,2022-06-28,2022Q1,14.22,39.16601714731098,158.39,100.0,43.623333333333335,100.0,23.409516585803658,92.04758292901829,2.5409577493421636,100.0,36.6343470022053,41.58586750551326,86.88232590463517
6257,矽格,半導體業,54.9,2022-06-28,2022Q1,8.15,80.10291595197255,43.31,86.62,30.343333333333334,100.0,21.730970383172682,83.65485191586342,1.7585984849868108,100.0,38.4652379336346,46.16309483408649,86.82982886598543
5347,世界,半導體業,82.8,2022-06-28,2022Q1,0.0,0.0,85.19,100.0,46.300000000000004,100.0,36.96883603883194,100.0,2.488176667734705,100.0,47.0,67.5,86.75
2379,瑞昱,半導體業,376.5,2022-06-28,2022Q1,10.17,62.778730703259015,69.73,100.0,28.253333333333334,100.0,17.8169094952664,64.084547476332,1.7864420041540467,100.0,42.8269719248459,57.067429812114746,86.59729817298718
2344,華邦電,半導體業,23.2,2022-06-28,2022Q1,5.58,100.0,187.5,100.0,10.193333333333333,50.96666666666667,23.78000087576867,93.90000437884336,1.7850766416905,100.0,49.1390548803326,72.8476372008315,86.56309771024299
2636,台驊控股,航運業,95.4,2022-06-28,2022Q1,3.03,100.0,104.11,100.0,39.88333333333333,100.0,12.003521610280057,35.01760805140029,1.0495023970398443,78.50034243426347,63.7332307632881,100.0,85.95270969456274
6216,居易,通信網路業,31.95,2022-06-28,2022Q1,15.07,76.21787025703794,70.0,100.0,56.42666666666667,100.0,18.639266832129035,68.19633416064518,0.9545758406310583,64.9394058044369,87.3647040312644,100.0,85.83911831068795
6182,合晶,半導體業,51.0,2022-06-28,2022Q1,0.0,0.0,210.34,100.0,22.813333333333333,100.0,28.326414653336272,100.0,1.726074356146264,100.0,43.0,57.49999999999999,85.75
2313,華通,電子零組件業,45.0,2022-06-28,2022Q1,8.81,81.33281371784878,102.56,100.0,25.610000000000003,100.0,13.684381592283406,43.421907961417034,1.816737128049534,100.0,44.1826902168039,60.45672554200975,85.6922401201984
6177,達麗,建材營造業,29.95,2022-06-28,2022Q1,5.16,100.0,1770.0,100.0,26525.43333333333,100.0,18.594146193253653,67.97073096626826,2.8696167118999365,100.0,21.1970241374222,2.9925603435555015,85.49486567929578
6548,長科*,半導體業,78.6,2022-06-28,2022Q1,0.0,0.0,179.1,100.0,26.393333333333334,100.0,22.47865154306454,87.3932577153227,1.1605769724054198,94.36813891505997,54.0,85.0,85.48261644031041
2059,川湖,電子零組件業,413.0,2022-06-28,2022Q1,15.44,29.657053780202645,109.89,100.0,27.963333333333335,100.0,44.63668000756591,100.0,0.9341044630119341,62.01492328741915,80.9684352358929,100.0,85.36869003550409
5274,信驊,半導體業,2125.0,2022-06-28,2022Q1,0.0,0.0,89.18,100.0,59.913333333333334,100.0,47.37409781425937,100.0,1.0727676711567837,81.82395302239767,56.0,90.0,85.36479060447954
2607,榮運,航運業,30.15,2022-06-28,2022Q1,20.65,0.0,313.33,100.0,159.54999999999998,100.0,18.461882293691588,67.30941146845794,1.6350770374138213,100.0,67.0156203901527,100.0,85.09641172026869
3624,光頡,電子零組件業,63.8,2022-06-28,2022Q1,0.0,0.0,116.67,100.0,17.72,88.6,21.123771913586594,80.61885956793297,1.3752509273401703,100.0,77.0,100.0,84.81282893518994
1443,立益物流,其他業,16.15,2022-06-28,2022Q1,7.92,94.32337434094904,160.0,100.0,16.419999999999998,82.1,22.40084092501752,87.0042046250876,1.2360366259836741,100.0,23.3447289296201,8.36182232405025,84.73915036026307
3680,家登,半導體業,221.5,2022-06-28,2022Q1,0.0,0.0,544.44,100.0,76.71333333333332,100.0,23.50366002796952,92.5183001398476,1.644131818298936,100.0,43.0,57.49999999999999,84.62774502097714
1723,中碳,化學工業,118.5,2022-06-28,2022Q1,22.79,25.80381471389648,46.53,93.06,53.88666666666666,100.0,15.899493955106635,54.49746977553318,1.324178096153286,100.0,64.4328295912292,100.0,84.02000193771963
5607,遠雄港,航運業,49.6,2022-06-28,2022Q1,18.1,0.0,94.34,100.0,46.65,100.0,50.04541281111487,100.0,2.2005808850517847,100.0,36.0662387761698,40.16559694042449,84.01655969404246
3218,大學光,生技醫療業,277.5,2022-06-28,2022Q1,0.0,0.0,42.86,85.72,23.55333333333333,100.0,32.875017203310215,100.0,1.7957786089940095,100.0,50.0,75.0,83.93
3711,日月光投控,半導體業,91.0,2022-06-28,2022Q1,5.71,100.0,52.79,100.0,22.91,100.0,11.159180492816208,30.795902464081042,2.1058182505038627,100.0,35.6782536459007,39.19563411475176,83.53894878108734
6515,穎崴,半導體業,381.0,2022-06-28,2022Q1,23.29,0.0,155.07,100.0,24.00333333333333,100.0,16.33028187393156,56.6514093696578,2.3435130510635442,100.0,65.5759327650259,100.0,83.49771140544867
9906,欣巴巴,建材營造業,53.8,2022-06-28,2022Q1,10.25,57.15579710144927,680.65,100.0,4761393.8,100.0,21.921521336619147,84.60760668309574,1.4274211809209212,100.0,9.74768589036752,0.0,83.40672071260929
5299,杰力,半導體業,153.5,2022-06-28,2022Q1,0.0,0.0,76.11,100.0,15.413333333333334,77.06666666666668,29.88686694018711,100.0,1.5724201641644875,100.0,50.0,75.0,82.91333333333333
1796,金穎生技,食品工業,41.8,2022-06-28,2022Q1,0.0,0.0,61.29,100.0,24.22666666666667,100.0,15.190638658615393,50.95319329307697,1.5996488147497805,100.0,69.0,100.0,82.64297899396155
5601,台聯櫃,航運業,0.0,2022-06-28,2022Q1,0.0,0.0,100.0,100.0,12.5,62.5,37.169900615239,100.0,1.8450439146800501,100.0,74.0,100.0,82.5
2030,彰源,鋼鐵工業,24.65,2022-06-28,2022Q1,4.84,92.31227651966627,177.78,100.0,36.050000000000004,100.0,10.107863483430247,25.539317417151235,2.0980119938742505,100.0,37.5473746865588,43.86843671639699,82.448968936179
2235,謚源,電機機械,40.25,2022-06-28,2022Q1,0.0,0.0,303.12,100.0,29.50666666666667,100.0,14.726457977368709,48.632289886843544,1.2687823834196892,100.0,66.0,100.0,82.29484348302653
3016,嘉晶,半導體業,92.3,2022-06-28,2022Q1,50.71,0.0,300.0,100.0,28.883333333333336,100.0,14.55469009962175,47.77345049810875,2.3092286652078773,100.0,60.4934008635614,100.0,82.1660175747163
6664,群翊,電子零組件業,81.9,2022-06-28,2022Q1,0.0,0.0,42.78,85.56,38.29,100.0,26.113080135451323,100.0,1.4967636510260818,100.0,42.0,55.00000000000001,81.89
1516,川飛,其他業,24.55,2022-06-28,2022Q1,11.58,68.59402460456943,354.55,100.0,41.336666666666666,100.0,4.025832549458476,0.0,1.840022327658387,100.0,69.7118290929366,100.0,81.85940246045695
8478,東哥遊艇,運動休閒,187.0,2022-06-28,2022Q1,13.35,71.19244391971665,4300.0,100.0,31.41333333333333,100.0,28.464698203423183,100.0,0.7821089726213066,40.30128180304381,46.6190312572689,66.54757814317225,81.83425856689765
6715,嘉基,電子零組件業,145.5,2022-06-28,2022Q1,42.67,0.0,59.55,100.0,97.78333333333335,100.0,14.597118059979671,47.985590299898355,2.458170076911914,100.0,58.5442242598174,96.36056064954349,81.8338946099391
6491,晶碩,生技醫療業,436.0,2022-06-28,2022Q1,22.05,54.9978457561396,60.12,100.0,6.383333333333333,31.916666666666664,28.074120607235358,100.0,1.301963529686302,100.0,59.1845051291513,97.96126282287825,81.67924419123511
1560,中砂,電機機械,157.0,2022-06-28,2022Q1,26.7,0.0,109.52,100.0,17.533333333333335,87.66666666666667,19.796943204892816,73.98471602446408,1.287990223450318,100.0,52.1170287942766,80.2925719856915,81.6602979355721
3034,聯詠,半導體業,315.0,2022-06-28,2022Q1,4.34,100.0,89.44,100.0,12.646666666666668,63.23333333333334,36.37224904848955,100.0,0.8024436260387134,43.20623229124478,61.6560029460956,100.0,81.28791312491563
9907,統一實,其他業,15.8,2022-06-28,2022Q1,10.9,73.3743409490334,225.0,100.0,18.2,90.99999999999999,6.940995869762648,9.70497934881324,1.554027843280543,100.0,55.843872149335,89.6096803733375,80.95414903455908
3025,星通,通信網路業,18.25,2022-06-28,2022Q1,19.21,55.94859241126071,252.63,100.0,15.583333333333334,77.91666666666667,11.215672443368549,31.07836221684274,10.529457515069026,100.0,76.3809580110436,100.0,80.83994690698582
3266,昇陽,建材營造業,12.9,2022-06-28,2022Q1,13.44,28.260869565217384,2366.67,100.0,866.3966666666666,100.0,14.899336032426705,49.49668016213352,2.2844309874705164,100.0,41.9223182517499,54.80579562937476,80.73116854377925
3169,亞信,半導體業,132.5,2022-06-28,2022Q1,0.0,0.0,66.96,100.0,39.64666666666667,100.0,36.92754907117743,100.0,0.8712883182863617,53.0411883266231,84.0,100.0,80.60823766532462
4961,天鈺,半導體業,140.5,2022-06-28,2022Q1,3.98,100.0,69.67,100.0,18.22,91.1,32.40895541465164,100.0,0.5818660361905317,11.695148027218812,65.1695576445762,100.0,80.55902960544375
6788,華景電,半導體業,128.0,2022-06-28,2022Q1,0.0,0.0,30.97,61.94,32.98666666666667,100.0,27.939106612641286,100.0,1.2577389630426474,100.0,79.0,100.0,80.485
2472,立隆電,電子零組件業,56.9,2022-06-28,2022Q1,8.78,81.56664068589244,32.28,64.56,20.169999999999998,100.0,17.647292015807327,63.23646007903664,1.2811167672450074,100.0,46.5481328480759,66.37033212018976,80.41916629246373
7556,意德士,半導體業,122.0,2022-06-28,2022Q1,0.0,0.0,39.36,78.72,30.883333333333336,100.0,25.679841715363732,100.0,1.0471779928539218,78.1682846934174,83.0,100.0,80.31365693868348
2034,允強,鋼鐵工業,27.05,2022-06-28,2022Q1,8.1,53.45649582836711,111.11,100.0,17.873333333333335,89.36666666666667,10.416915734906466,27.084578674532327,1.308629323616834,100.0,52.1101450851125,80.27536271278125,80.30920598862802
6716,應廣,半導體業,124.5,2022-06-28,2022Q1,0.0,0.0,62.02,100.0,49.36333333333334,100.0,25.3603909476473,100.0,0.8668773765409673,52.411053791566765,59.0,97.5,80.23221075831336
5351,鈺創,半導體業,59.3,2022-06-28,2022Q1,0.0,0.0,305.0,100.0,25.323333333333334,100.0,11.779697446712222,33.898487233561106,1.2795019359461335,100.0,61.0,100.0,80.08477308503417
2706,第一店,觀光餐旅,14.25,2022-06-28,2022Q1,61.96,41.422062560238324,700.0,100.0,6.796666666666667,33.983333333333334,70.26316159612924,100.0,1.1691912708600771,95.59875298001103,86.2397074322487,100.0,80.0586235186927
3264,欣銓,半導體業,37.95,2022-06-28,2022Q1,0.0,0.0,33.01,66.02,24.093333333333334,100.0,25.22502822715436,100.0,2.3064017755442854,100.0,54.0,85.0,80.005
5015,華祺,鋼鐵工業,43.3,2022-06-28,2022Q1,0.0,0.0,417.78,100.0,13.816666666666668,69.08333333333334,21.416216798995787,82.08108399497893,1.677198055307508,100.0,55.0,87.5,79.87882926591351
5902,德記,居家生活,26.85,2022-06-28,2022Q1,0.0,0.0,61.76,100.0,32.06666666666667,100.0,11.252531555207733,31.262657776038665,1.3613597080852697,100.0,76.0,100.0,79.6893986664058
3592,瑞鼎,半導體業,371.0,2022-06-28,2022Q1,6.56,93.7392795883362,88.96,100.0,29.12,100.0,19.919417285417055,74.59708642708527,0.8147905027932961,44.97007182761374,40.4942971689148,51.235742922286995,79.68107958064785
1342,八貫,其他業,67.1,2022-06-28,2022Q1,14.31,49.40246045694201,102.67,100.0,40.11,100.0,17.586031156571675,62.93015578285838,0.8538838429808083,50.554834711544046,64.253442915809,100.0,79.49073635543176
2454,聯發科,半導體業,651.0,2022-06-28,2022Q1,8.7,75.38593481989709,29.67,59.34,39.1,100.0,25.553210744335214,100.0,0.9240591709611112,60.57988156587304,64.1311949962137,100.0,79.48956979516431
6426,統新,通信網路業,61.5,2022-06-28,2022Q1,68.33,0.0,2000.0,100.0,19.459999999999997,97.29999999999998,11.396940577690255,31.984702888451277,2.7405073717156743,100.0,90.1707846462367,100.0,79.25770543326769
2408,南亞科,半導體業,58.9,2022-06-28,2022Q1,6.83,91.42367066895368,139.77,100.0,-8.02,0.0,31.39455513734986,100.0,1.7278841648655594,100.0,90.0685184844714,100.0,79.14236706689536
3093,港建,其他電子業,120.0,2022-06-28,2022Q1,0.0,0.0,189.08,100.0,57.306666666666665,100.0,26.101223900631005,100.0,0.9123173779315648,58.902482561652114,49.0,72.5,79.03049651233042
6579,研揚,電腦及週邊設備業,79.0,2022-06-28,2022Q1,21.58,0.0,255.88,100.0,63.68666666666667,100.0,10.273501286832804,26.367506434164024,1.5429565486315138,100.0,74.2098386496583,100.0,78.95512596512461
