symbol,name,naive_pred_eps,year,market,q2_rev,q2_margin,q2_eps,q3_rev_total,target_eps
2305,全友,0.11183362084276882,2024,sii,164127.0,0.11672058832489475,0.06,197050.0,-0.01
2327,國巨*,10.919791231580785,2024,sii,31417937.0,0.1746217773624029,13.02,31737967.0,7.02
3130,一零四,4.581266190027607,2024,sii,651819.0,0.22863862513980107,4.49,665047.0,4.54
2228,劍麟,1.6747633416775316,2024,sii,1204797.0,0.0932771246940356,1.48,1360613.0,1.79
9935,慶豐富,0.6742992621704922,2024,sii,1288214.0,0.07492621567534587,0.56,1564465.0,0.65
8210,勤誠,4.489142461740866,2024,sii,3607378.0,0.12672805566813347,3.77,4271630.0,5.34
8011,台通,0.26382265785280035,2024,sii,780487.0,0.0909265625180176,0.39,481421.0,0.14
1906,寶隆,-0.11927494130106872,2024,sii,785922.0,-0.02383569870801428,-0.13,755611.0,-0.19
2528,皇普,-13.61131246096289,2024,sii,693.0,-234.6161616161616,-0.42,23701.0,-0.27
3164,景岳,0.12785536896455818,2024,sii,94186.0,0.1319622873887839,0.17,83819.0,0.07
1527,鑽全,1.0232535998604544,2024,sii,754837.0,0.16958495675225246,0.93,836117.0,0.85
1218,泰山,0.4746073212055113,2024,sii,2556095.0,0.07939963107787465,0.42,2988719.0,0.55
1436,華友聯,11.349968142990074,2024,sii,2021757.0,0.318084715423268,5.84,4083498.0,12.87
2880,華南金,,2024,sii,0.0,0.0,0.4,18083683.0,0.49
2317,鴻海,3.3584971183629166,2024,sii,1550550895.0,0.025116858869698694,2.53,1853687765.0,3.55
9934,成霖,0.5062559673331484,2024,sii,4878715.0,0.04549292180420459,0.54,4556612.0,0.01
4999,鑫禾,0.4222603949841965,2024,sii,531440.0,0.062266671684479906,0.45,504659.0,-0.15
3029,零壹,1.7697989695518788,2024,sii,4328599.0,0.05534030756833793,1.27,4952122.0,1.33
4551,智伸科,1.7628938216727092,2024,sii,1855388.0,0.0916762423816474,1.47,2215678.0,1.76
3002,歐格,0.07141307797560364,2024,sii,160384.0,0.0496932362330407,0.08,146582.0,0.02
2101,南港,2.3952017698512313,2024,sii,2395380.0,0.22728752849234776,0.65,8788174.0,3.12
