symbol,name,q2_rev,q2_ni,q2_ocf,q2_retained_earnings,rev_m7,rev_m8,rev_m9,year,q2_eps,q2_margin,ly_q3_eps,rev_trend_m8_m7,rev_trend_m9_m8,q2_ocf_ratio,q2_re_ratio,target_eps
2832,台產,1886535.0,-243579.0,253359.0,5171411.0,737931.0,647465.0,614490.0,2021,-0.67,-0.1291144876718428,0.61,-0.1225941178782298,-0.0509293938668499,-1.0401512445654182,1.4277761703189726,0.43
2377,微星,46322238.0,4401042.0,1167356.0,30378794.0,14524825.0,18478966.0,19203131.0,2021,5.2,0.0950092696298482,3.09,0.2722332971309464,0.0391886104449783,0.2652453668926586,3.5957354636209096,5.29
4566,時碩工業,1035124.0,20662.0,117379.0,498130.0,370411.0,394438.0,365227.0,2021,0.28,0.0199608935741032,0.37,0.0648657842234707,-0.0740572662877309,5.0,0.6935444796850069,1.08
3024,憶聲,347163.0,169440.0,146385.0,483416.0,148827.0,102619.0,160024.0,2021,0.62,0.4880704452951495,0.16,-0.3104812970764713,0.5593993315078105,0.8639341359773371,0.1744192381588086,0.08
2753,八方雲集,1452315.0,140366.0,276917.0,1313124.0,487091.0,511187.0,504955.0,2021,2.41,0.0966498314759539,0.0,0.049469195694439,-0.0121912333451359,1.972821053531482,2.1869071093583456,6.53
3018,隆銘綠能,534104.0,-2634.0,-90319.0,-225367.0,101433.0,85174.0,143760.0,2021,-0.01,-0.0049316238036037,-0.42,-0.1602930012914929,0.6878390119050415,5.0,-0.3081010730432238,-0.74
3138,耀登,379437.0,49402.0,57178.0,284774.0,123988.0,112740.0,116880.0,2021,1.04,0.1301981620137203,0.0,-0.0907184566248346,0.0367216604576903,1.1574025343103518,0.6111593988286472,2.76
1526,日馳,484406.0,75107.0,-90724.0,631814.0,159132.0,173495.0,148024.0,2021,1.25,0.1550496897230835,0.83,0.0902584018299272,-0.146811147295311,-1.207930019838364,1.0530233333333334,1.07
2344,華邦電,25234159.0,3779523.0,6424533.0,14210663.0,9089871.0,8816083.0,9108776.0,2021,0.84,0.1497780449112649,0.08,-0.0301201194164361,0.0331998916071911,1.699826406665603,0.3570518162285519,1.12
6139,亞翔,5924276.0,98473.0,-1179579.0,3063859.0,1793458.0,1671909.0,1714857.0,2021,0.33,0.0166219467155142,0.48,-0.0677735413932191,0.0256880009617748,-5.0,1.3584493987565005,0.17
6155,鈞寶,207675.0,6399.0,-20046.0,302630.0,71328.0,64930.0,67613.0,2021,0.07,0.0308125677139761,0.1,-0.0896982951996411,0.0413214230709995,-3.132676980778246,0.3481691294563762,0.32
2607,榮運,1729027.0,224563.0,562893.0,7615380.0,596925.0,571705.0,532300.0,2021,0.21,0.1298782494431839,0.17,-0.0422498638857478,-0.068925407334202,2.5066150701584857,0.7136244682169959,0.3
3040,遠見,43096.0,41787.0,3425.0,1036136.0,13595.0,13708.0,15778.0,2021,0.66,0.9696259513643958,2.5,0.0083118793674143,0.151006711409396,0.0819632900184267,1.6446603174603174,0.48
1456,怡華,845201.0,212896.0,328765.0,665365.0,429328.0,226029.0,68833.0,2021,2.27,0.2518880124372782,-0.13,-0.4735283978682965,-0.6954682806188586,1.5442516533894484,0.7099498506188647,0.01
2455,全新,896062.0,226778.0,292285.0,1487443.0,290471.0,315199.0,341730.0,2021,1.22,0.2530829339934067,0.61,0.085130701515814,0.0841722213585702,1.2888595895545425,0.8044324167049294,1.15
1109,信大,1885382.0,236044.0,140869.0,4677020.0,492134.0,591358.0,376885.0,2021,0.47,0.1251969096978755,0.79,0.2016198840153291,-0.3626787834103876,0.5967912762027419,1.3677180728972778,0.31
1517,利奇,1219403.0,106878.0,-102344.0,1297826.0,426869.0,443970.0,369236.0,2021,0.49,0.0876478079847269,0.32,0.0400614708493707,-0.1683311935491136,-0.9575777989857596,0.5696591682212224,0.5
1720,生達,1149060.0,195793.0,128030.0,2008767.0,358516.0,379426.0,382901.0,2021,0.93,0.1703940612326597,0.64,0.0583237568197794,0.0091585711047741,0.6539048893474231,1.124124701098681,0.89
5608,四維航,1217494.0,468583.0,780235.0,592260.0,489399.0,540308.0,625229.0,2021,1.78,0.3848749973305823,-0.33,0.1040235063823178,0.1571714651643136,1.6650945510187096,0.2120765389120308,3.01
1339,昭輝,464729.0,-4760.0,77382.0,1546953.0,159753.0,168902.0,132849.0,2021,-0.05,-0.0102425284413066,0.52,0.0572696600376831,-0.2134551396667889,-5.0,2.086560496581417,0.32
2606,裕民,3371534.0,1032301.0,704646.0,15993810.0,1384918.0,1264382.0,1459377.0,2021,1.22,0.3061813999206296,0.88,-0.0870347558483607,0.1542215880960027,0.6825974207135322,1.8926338228355837,2.1
2364,倫飛,235862.0,8854.0,64491.0,-1701180.0,74986.0,77875.0,90343.0,2021,0.05,0.0375388998651754,0.14,0.0385271917424585,0.1601027287319423,5.0,-0.8682484367057209,0.8
1718,中纖,,760106.0,3651416.0,5955168.0,2880141.0,2735907.0,2660048.0,2021,-0.09,0.0,1.94,-0.0500787982255035,-0.0277271851711333,4.803824729708751,0.3672929858208554,0.06
2536,宏普,53262.0,-46715.0,-1298352.0,6402671.0,14679.0,14277.0,22220.0,2021,-0.14,-0.8770793436220945,0.4,-0.0273860617208256,0.5563493731176017,5.0,1.9238292148011755,-0.08
3607,谷崧,954016.0,-116723.0,76204.0,-522349.0,270560.0,284646.0,360255.0,2021,-0.91,-0.1223491010632945,-0.67,0.0520623891188645,0.2656246706435361,-0.6528619038235823,-0.4293437074128201,0.12
2495,普安,311235.0,3233.0,81052.0,1171849.0,78501.0,100707.0,98023.0,2021,0.02,0.0103876492039777,0.03,0.2828753773837276,-0.02665157337623,5.0,0.428383320873766,0.09
3653,健策,2169327.0,263975.0,22209.0,1791963.0,783509.0,765410.0,773555.0,2021,2.13,0.1216852046740763,1.58,-0.0230999261016784,0.0106413556133313,0.0841329671370395,1.4661854010083506,3.21
6756,威鋒電子,802820.0,207666.0,81616.0,488485.0,282310.0,304339.0,306475.0,2021,3.08,0.2586706858324406,0.0,0.0780312422514257,0.0070184892504738,0.3930157079155952,0.7236814814814815,3.56
2431,聯昌,385331.0,-25020.0,-22660.0,352063.0,103085.0,113768.0,104581.0,2021,-0.22,-0.0649311890296913,0.33,0.1036329242857836,-0.0807520568173827,0.905675459632294,0.3173826029731265,-0.19
2496,卓越,152502.0,8672.0,105960.0,278653.0,54171.0,62106.0,58082.0,2021,0.47,0.0568648280022557,1.65,0.1464805892451681,-0.0647924516149808,5.0,1.4524221543465343,1.23
1603,華電,463147.0,49952.0,127502.0,5472782.0,143362.0,174638.0,359057.0,2021,0.31,0.107853446098107,1.55,0.2181610189589988,1.0560072836381544,2.552490390775144,2.8550467426234296,0.64
6177,達麗,2641863.0,382504.0,-1457096.0,1324901.0,526688.0,377233.0,2149093.0,2021,0.99,0.1447857061475178,0.0,-0.2837638222249226,4.696990984351846,-3.809361470729718,0.3483789963042772,0.93
3617,碩天,2113437.0,38289.0,69975.0,2076876.0,813590.0,822709.0,635588.0,2021,0.42,0.0181169346424804,2.9,0.0112083481852038,-0.2274449410423369,1.82754838204184,2.5655964719398154,0.62
2731,雄獅,380628.0,-71476.0,-296344.0,-87442.0,60534.0,101612.0,83375.0,2021,-0.88,-0.1877843984152505,-2.43,0.6785938480853735,-0.1794768334448687,4.146063014158599,-0.1197586256012446,-2.19
4440,宜新實業,455608.0,85432.0,138597.0,393310.0,168271.0,170421.0,165227.0,2021,0.99,0.1875120717810047,0.0,0.0127770085160248,-0.0304774646317061,1.6223078003558389,0.6549926725286438,3.99
6235,華孚,662700.0,30848.0,149455.0,671284.0,224291.0,208783.0,225809.0,2021,0.18,0.0465489663497812,0.06,-0.0691423195759081,0.0815487851022354,4.844884595435684,0.3927941359756629,0.1
3311,閎暉,406684.0,13652.0,56934.0,1360938.0,142058.0,152255.0,158786.0,2021,0.2,0.033569060990843,0.22,0.071780540342677,0.0428951430166497,4.1703779665983,2.001379411764706,0.2
1402,遠東新,58493983.0,4557016.0,5420626.0,149245905.0,19058851.0,19327770.0,20059024.0,2021,0.71,0.0779057223714787,0.6,0.0141099271934073,0.037834369924725,1.189512172000274,2.7881447299228035,0.45
1806,冠軍,824089.0,-16085.0,-13272.0,451372.0,304242.0,304326.0,291124.0,2021,-0.04,-0.0195185228779901,0.05,0.0002760960025243,-0.0433811110453921,0.8251165682312713,0.1040550082633654,2.62
1702,南僑,4926650.0,275258.0,436209.0,3672277.0,1492597.0,1662626.0,1757618.0,2021,1.04,0.0558712309581561,1.35,0.1139148745441669,0.0571337149785942,1.5847277826620845,1.2485090078297914,1.03
