feature,importance
q2_eps,0.5636980370137122
q2_re_ratio,0.09029772470636441
ly_q3_eps,0.0901182122591794
q2_margin,0.07082306461904975
rev_trend_m8_m7,0.06982218959386446
rev_trend_m9_m8,0.061565473968728725
q2_ocf_ratio,0.053675297839101174
