year,symbol,name,q2_eps,q2_rev,q2_margin,ly_q3_eps,target_eps,rev_m7,rev_m8,rev_m9,rev_yoy_m7
2021,2606,裕民,1.22,3371534.0,0.3061813999206296,0.88,2.1,1384918.0,1264382.0,1459377.0,0.6679469067688932
2021,2364,倫飛,0.05,235862.0,0.0375388998651754,0.14,0.8,74986.0,77875.0,90343.0,0.13479320207630252
2021,1718,中纖,-0.09,,,1.94,0.06,2880141.0,2735907.0,2660048.0,0.07634741448221805
2021,2536,宏普,-0.14,53262.0,-0.8770793436220945,0.4,-0.08,14679.0,14277.0,22220.0,-0.9081132512472535
2021,3607,谷崧,-0.91,954016.0,-0.12234910106329454,-0.67,0.12,270560.0,284646.0,360255.0,0.12750245870213872
2021,2495,普安,0.02,311235.0,0.010387649203977702,0.03,0.09,78501.0,100707.0,98023.0,-0.31534650874775416
2021,3653,健策,2.13,2169327.0,0.12168520467407634,1.58,3.21,783509.0,765410.0,773555.0,0.44760505870723977
2021,2431,聯昌,-0.22,385331.0,-0.06493118902969136,0.33,-0.19,103085.0,113768.0,104581.0,-0.5994816981960456
2021,2496,卓越,0.47,152502.0,0.05686482800225571,1.65,1.23,54171.0,62106.0,58082.0,-0.17771975895201808
2021,1603,華電,0.31,463147.0,0.10785344609810708,1.55,0.64,143362.0,174638.0,359057.0,-0.28524135730453604
2021,6177,達麗,0.99,2641863.0,0.14478570614751787,0.0,0.93,526688.0,377233.0,2149093.0,4.976397966594045
2021,3617,碩天,0.42,2113437.0,0.018116934642480473,2.9,0.62,813590.0,822709.0,635588.0,-0.06280526015076393
2021,2731,雄獅,-0.88,380628.0,-0.18778439841525058,-2.43,-2.19,60534.0,101612.0,83375.0,-0.6951779563719862
2021,6235,華孚,0.18,662700.0,0.0465489663497812,0.06,0.1,224291.0,208783.0,225809.0,0.5373453511086741
2021,3311,閎暉,0.2,406684.0,0.03356906099084302,0.22,0.2,142058.0,152255.0,158786.0,-0.0013778171439818854
2021,1402,遠東新,0.71,58493983.0,0.07790572237147879,0.6,0.45,19058851.0,19327770.0,20059024.0,0.19133752889448963
2021,1806,冠軍,-0.04,824089.0,-0.01951852287799012,0.05,2.62,304242.0,304326.0,291124.0,0.015694011838112365
2021,1702,南僑,1.04,4926650.0,0.05587123095815615,1.35,1.03,1492597.0,1662626.0,1757618.0,0.06302680505177327
2021,6446,藥華藥,-2.08,86762.0,-6.231737396556096,-2.53,-2.7,33618.0,30766.0,27678.0,-0.27914057809417614
2021,2373,震旦行,1.49,3395111.0,0.10859055860029318,2.21,1.78,1167614.0,1078680.0,1129244.0,-0.005549641010790918
2021,6226,光鼎,0.15,238000.0,0.05480252100840336,-0.06,0.08,79770.0,71152.0,116441.0,0.14945675667886693
2021,3437,榮創,0.22,992209.0,0.03256874307731537,0.39,-0.1,301957.0,300291.0,315526.0,-0.39486362452153345
2021,8422,可寧衛*,2.43,593990.0,0.44399905722318556,3.01,2.58,222122.0,263766.0,276644.0,-0.11391152758330436
2021,6142,友勁,-0.51,624547.0,-0.2698275710234778,-0.31,-0.65,211041.0,171532.0,152567.0,-0.4150796972308989
2021,1722,台肥,0.78,2610836.0,0.2912178321426547,0.51,0.8,901496.0,996228.0,1171517.0,-0.019423442355656628
2021,2014,中鴻,1.59,13397363.0,0.17024439809535652,0.17,1.02,5201624.0,5341704.0,5091940.0,0.9922807901829607
2021,8473,山林水,-0.21,867754.0,0.0009691686814465851,0.19,0.35,268317.0,239911.0,305603.0,-0.17290264111859144
2021,3704,合勤控,0.83,6084387.0,0.060349875837943906,0.88,0.98,1881295.0,2175800.0,2267408.0,0.08640691310742765
2021,1708,東鹼,0.57,1147618.0,0.11363275933280935,0.24,0.52,390366.0,403997.0,426915.0,0.18552824985726257
