year,symbol,name,q2_rev,q2_ni,q2_margin,q2_eps,capital,q2_retained_earnings,q2_ocf,rev_m7,rev_m8,rev_m9,ly_q3_eps,target_eps,q2_ocf_ratio,q2_re_ratio,rev_trend_m8_m7,rev_trend_m9_m8
2021,3094,聯傑,73558.0,13829.0,0.18800130509258,0.17,846321.0,141966.0,17058.0,25652.0,26815.0,24555.0,0.07,0.25,1.233494829705691,0.16774486276483747,0.0453375955091222,-0.08428118590341227
2021,2836,高雄銀,,231220.0,,0.21,12034444.0,3178669.0,-87162.0,331499.0,353014.0,298937.0,0.17,0.19,-0.3769656604099991,0.26413093949334093,0.06490215656759135,-0.1531865591732906
2021,2832,台產,1886535.0,-243579.0,-0.12911448767184283,-0.67,3622004.0,5171411.0,253359.0,737931.0,647465.0,614490.0,0.61,0.43,-1.0401512445654182,1.4277761703189726,-0.12259411787822982,-0.050929393866849915
2021,2377,微星,46322238.0,4401042.0,0.0950092696298482,5.2,8448562.0,30378794.0,1167356.0,14524825.0,18478966.0,19203131.0,3.09,5.29,0.2652453668926586,3.5957354636209096,0.27223329713094646,0.039188610444978345
2021,4566,時碩工業,1035124.0,20662.0,0.0199608935741032,0.28,718238.0,498130.0,117379.0,370411.0,394438.0,365227.0,0.37,1.08,5.0,0.6935444796850069,0.06486578422347078,-0.0740572662877309
2021,3024,憶聲,347163.0,169440.0,0.48807044529514954,0.62,2771575.0,483416.0,146385.0,148827.0,102619.0,160024.0,0.16,0.08,0.8639341359773371,0.1744192381588086,-0.3104812970764713,0.5593993315078105
2021,2753,八方雲集,1452315.0,140366.0,0.0966498314759539,2.41,600448.0,1313124.0,276917.0,487091.0,511187.0,504955.0,,6.53,1.972821053531482,2.1869071093583456,0.04946919569443908,-0.012191233345135943
2021,3018,隆銘綠能,534104.0,-2634.0,-0.0049316238036037924,-0.01,731471.0,-225367.0,-90319.0,101433.0,85174.0,143760.0,-0.42,-0.74,5.0,-0.30810107304322387,-0.16029300129149293,0.6878390119050415
2021,3138,耀登,379437.0,49402.0,0.13019816201372034,1.04,465957.0,284774.0,57178.0,123988.0,112740.0,116880.0,,2.76,1.1574025343103518,0.6111593988286472,-0.09071845662483469,0.03672166045769032
2021,1526,日馳,484406.0,75107.0,0.15504968972308353,1.25,600000.0,631814.0,-90724.0,159132.0,173495.0,148024.0,0.83,1.07,-1.207930019838364,1.0530233333333334,0.09025840182992728,-0.14681114729531108
2021,2344,華邦電,25234159.0,3779523.0,0.14977804491126492,0.84,39800002.0,14210663.0,6424533.0,9089871.0,8816083.0,9108776.0,0.08,1.12,1.699826406665603,0.3570518162285519,-0.03012011941643611,0.03319989160719117
2021,6139,亞翔,5924276.0,98473.0,0.016621946715514268,0.33,2255409.0,3063859.0,-1179579.0,1793458.0,1671909.0,1714857.0,0.48,0.17,-5.0,1.3584493987565005,-0.06777354139321912,0.025688000961774815
2021,6155,鈞寶,207675.0,6399.0,0.030812567713976165,0.07,869204.0,302630.0,-20046.0,71328.0,64930.0,67613.0,0.1,0.32,-3.1326769807782466,0.3481691294563762,-0.08969829519964112,0.04132142307099951
2021,2607,榮運,1729027.0,224563.0,0.12987824944318394,0.21,10671411.0,7615380.0,562893.0,596925.0,571705.0,532300.0,0.17,0.3,2.5066150701584857,0.7136244682169959,-0.04224986388574781,-0.06892540733420205
2021,3040,遠見,43096.0,41787.0,0.9696259513643958,0.66,630000.0,1036136.0,3425.0,13595.0,13708.0,15778.0,2.5,0.48,0.08196329001842678,1.6446603174603174,0.008311879367414399,0.15100671140939603
2021,1456,怡華,845201.0,212896.0,0.2518880124372782,2.27,937200.0,665365.0,328765.0,429328.0,226029.0,68833.0,-0.13,0.01,1.5442516533894484,0.7099498506188647,-0.4735283978682965,-0.6954682806188586
2021,2455,全新,896062.0,226778.0,0.2530829339934067,1.22,1849059.0,1487443.0,292285.0,290471.0,315199.0,341730.0,0.61,1.15,1.2888595895545423,0.8044324167049294,0.08513070151581403,0.08417222135857028
2021,1109,信大,1885382.0,236044.0,0.12519690969787556,0.47,3419579.0,4677020.0,140869.0,492134.0,591358.0,376885.0,0.79,0.31,0.5967912762027419,1.3677180728972778,0.20161988401532915,-0.3626787834103876
2021,1517,利奇,1219403.0,106878.0,0.08764780798472695,0.49,2278250.0,1297826.0,-102344.0,426869.0,443970.0,369236.0,0.32,0.5,-0.9575777989857595,0.5696591682212224,0.04006147084937073,-0.16833119354911363
2021,1720,生達,1149060.0,195793.0,0.17039406123265974,0.93,1786961.0,2008767.0,128030.0,358516.0,379426.0,382901.0,0.64,0.89,0.6539048893474231,1.124124701098681,0.058323756819779415,0.009158571104774138
2021,5608,四維航,1217494.0,468583.0,0.38487499733058234,1.78,2792671.0,592260.0,780235.0,489399.0,540308.0,625229.0,-0.33,3.01,1.6650945510187096,0.21207653891203082,0.10402350638231783,0.15717146516431368
2021,1339,昭輝,464729.0,-4760.0,-0.010242528441306653,-0.05,741389.0,1546953.0,77382.0,159753.0,168902.0,132849.0,0.52,0.32,-5.0,2.086560496581417,0.05726966003768319,-0.21345513966678897
2021,2606,裕民,3371534.0,1032301.0,0.3061813999206296,1.22,8450557.0,15993810.0,704646.0,1384918.0,1264382.0,1459377.0,0.88,2.1,0.6825974207135322,1.8926338228355835,-0.08703475584836073,0.15422158809600273
2021,2364,倫飛,235862.0,8854.0,0.0375388998651754,0.05,1959324.0,-1701180.0,64491.0,74986.0,77875.0,90343.0,0.14,0.8,5.0,-0.8682484367057209,0.038527191742458555,0.1601027287319423
2021,1718,中纖,,760106.0,,-0.09,16213672.0,5955168.0,3651416.0,2880141.0,2735907.0,2660048.0,1.94,0.06,4.803824729708751,0.3672929858208554,-0.05007879822550354,-0.027727185171133373
