year,symbol,name,q2_rev,q2_margin,q2_eps,capital,rev_m7,rev_m8,rev_m9,ly_rev_m7,ly_rev_m8,ly_rev_m9,ly_q3_eps,target_eps,rev_yoy_m7,rev_yoy_m8,rev_yoy_m9,rel_momentum_m8
2021,3094,聯傑,73558.0,0.18800130509258,0.17,846321.0,25652.0,26815.0,24555.0,17901.0,18070.0,21179.0,0.07,0.25,0.4329925702474722,0.4839513004980631,0.15940318239765805,1.0355610568460871
2021,2836,高雄銀,,,0.21,12034444.0,331499.0,353014.0,298937.0,304937.0,316417.0,305496.0,0.17,0.19,0.08710651708385675,0.11566066298586986,-0.021470002880561445,1.0262661896081804
2021,2832,台產,1886535.0,-0.12911448767184283,-0.67,3622004.0,737931.0,647465.0,614490.0,536566.0,469705.0,428776.0,0.61,0.43,0.37528468072893184,0.3784503039141589,0.4331259212269343,1.0023017948426134
2021,2377,微星,46322238.0,0.0950092696298482,5.2,8448562.0,14524825.0,18478966.0,19203131.0,13840272.0,13275096.0,13640345.0,3.09,5.29,0.049460949900406614,0.3920024382497873,0.4078185705713455,1.3263975552228864
2021,4566,時碩工業,1035124.0,0.0199608935741032,0.28,718238.0,370411.0,394438.0,365227.0,259672.0,292724.0,361444.0,0.37,1.08,0.4264572229581933,0.34747407113868345,0.010466351634001336,0.9446298490075193
2021,3024,憶聲,347163.0,0.48807044529514954,0.62,2771575.0,148827.0,102619.0,160024.0,166455.0,148450.0,80576.0,0.16,0.08,-0.10590249617013603,-0.3087302121926575,0.9860007942811755,0.7731481016849846
2021,3018,隆銘綠能,534104.0,-0.0049316238036037924,-0.01,731471.0,101433.0,85174.0,143760.0,82957.0,129347.0,132687.0,-0.42,-0.74,0.22271779355569743,-0.34150772727624146,0.08345203373352317,0.5385480412523029
2021,1526,日馳,484406.0,0.15504968972308353,1.25,600000.0,159132.0,173495.0,148024.0,120977.0,127903.0,122780.0,0.83,1.07,0.3153905287781975,0.3564576280462537,0.20560351848835312,1.031220461429201
2021,2344,華邦電,25234159.0,0.14977804491126492,0.84,39800002.0,9089871.0,8816083.0,9108776.0,4124163.0,4432501.0,7477057.0,0.08,1.12,1.2040523131602705,0.9889635670696972,0.21823011380012214,0.90241214112465
2021,6139,亞翔,5924276.0,0.016621946715514268,0.33,2255409.0,1793458.0,1671909.0,1714857.0,969759.0,1014538.0,1193918.0,0.48,0.17,0.8493852596366727,0.6479510870958012,0.4363272854584652,0.8910804703934728
2021,6155,鈞寶,207675.0,0.030812567713976165,0.07,869204.0,71328.0,64930.0,67613.0,42297.0,57200.0,48030.0,0.1,0.32,0.6863607348038867,0.13513986013986012,0.40772433895481996,0.6731299162227409
2021,2607,榮運,1729027.0,0.12987824944318394,0.21,10671411.0,596925.0,571705.0,532300.0,586638.0,590850.0,578383.0,0.17,0.3,0.01753551593998348,-0.032402471016332424,-0.0796755782932762,0.9509226103914576
2021,3040,遠見,43096.0,0.9696259513643958,0.66,630000.0,13595.0,13708.0,15778.0,12905.0,13949.0,14316.0,2.5,0.48,0.053467648198372686,-0.017277224173775863,0.10212349818385014,0.9328457096018699
2021,1456,怡華,845201.0,0.2518880124372782,2.27,937200.0,429328.0,226029.0,68833.0,44070.0,69680.0,37980.0,-0.13,0.01,8.741955979124121,2.2438145809414465,0.8123486045286994,0.33297364388553635
2021,2455,全新,896062.0,0.2530829339934067,1.22,1849059.0,290471.0,315199.0,341730.0,216211.0,208044.0,220135.0,0.61,1.15,0.343460785991462,0.5150593143758051,0.5523655938401435,1.1277287213543081
2021,1109,信大,1885382.0,0.12519690969787556,0.47,3419579.0,492134.0,591358.0,376885.0,656183.0,625696.0,675602.0,0.79,0.31,-0.2500049528866185,-0.054879685981690796,-0.44214937196751936,1.2601687406549358
2021,1517,利奇,1219403.0,0.08764780798472695,0.49,2278250.0,426869.0,443970.0,369236.0,350337.0,327135.0,352321.0,0.32,0.5,0.21845251857497217,0.35714613233068926,0.048010195248083365,1.1138276721015972
2021,1720,生達,1149060.0,0.17039406123265974,0.93,1786961.0,358516.0,379426.0,382901.0,340386.0,345579.0,359392.0,0.64,0.89,0.05326306017286253,0.09794287268612956,0.0654132534947911,1.0424203736015714
2021,5608,四維航,1217494.0,0.38487499733058234,1.78,2792671.0,489399.0,540308.0,625229.0,235121.0,239430.0,225759.0,-0.33,3.01,1.0814771968475805,1.2566428601261328,1.769453266536439,1.0841544954438331
2021,1339,昭輝,464729.0,-0.010242528441306653,-0.05,741389.0,159753.0,168902.0,132849.0,198459.0,195660.0,206573.0,0.52,0.32,-0.1950327271627893,-0.13675764080547892,-0.35689078437162647,1.0723943548063914
2021,2606,裕民,3371534.0,0.3061813999206296,1.22,8450557.0,1384918.0,1264382.0,1459377.0,830313.0,846728.0,950312.0,0.88,2.1,0.6679469067688932,0.49325639402499966,0.5356819655018563,0.8952661430439055
2021,2364,倫飛,235862.0,0.0375388998651754,0.05,1959324.0,74986.0,77875.0,90343.0,66079.0,81808.0,98471.0,0.14,0.8,0.13479320207630252,-0.048075982788969296,-0.0825420682231317,0.8388524142278251
2021,1718,中纖,,,-0.09,16213672.0,2880141.0,2735907.0,2660048.0,2675847.0,2433210.0,4872746.0,1.94,0.06,0.07634741448221805,0.12440233272097356,-0.4540967249267661,1.0446462894713902
2021,2536,宏普,53262.0,-0.8770793436220945,-0.14,3328087.0,14679.0,14277.0,22220.0,159751.0,488028.0,741024.0,0.4,-0.08,-0.9081132512472535,-0.9707455309941233,-0.9700144664680226,0.3183752761194775
2021,3607,谷崧,954016.0,-0.12234910106329454,-0.91,1216622.0,270560.0,284646.0,360255.0,239964.0,298085.0,337286.0,-0.67,0.12,0.12750245870213872,-0.045084455776037036,0.06809947640874503,0.8469298996679443
2021,2495,普安,311235.0,0.010387649203977702,0.02,2735515.0,78501.0,100707.0,98023.0,114658.0,85214.0,96067.0,0.03,0.09,-0.31534650874775416,0.1818128476541414,0.020360789865406348,1.726147405591375
2021,3653,健策,2169327.0,0.12168520467407634,2.13,1222194.0,783509.0,765410.0,773555.0,541245.0,559296.0,571133.0,1.58,3.21,0.44760505870723977,0.36852400160201393,0.3544218246888202,0.9453711102834581
2021,2431,聯昌,385331.0,-0.06493118902969136,-0.22,1109270.0,103085.0,113768.0,104581.0,257379.0,204661.0,215020.0,0.33,-0.19,-0.5994816981960456,-0.44411490220413263,-0.5136219886522184,1.3879143482136347
2021,2496,卓越,152502.0,0.05686482800225571,0.47,191854.0,54171.0,62106.0,58082.0,65879.0,63927.0,60102.0,1.65,1.23,-0.17771975895201808,-0.028485616406213388,-0.03360953046487636,1.1814881777477815
2021,1603,華電,463147.0,0.10785344609810708,0.31,1916880.0,143362.0,174638.0,359057.0,200574.0,139681.0,165978.0,1.55,0.64,-0.28524135730453604,0.25026309949098313,1.1632806757522083,1.7492101876180888
2021,6177,達麗,2641863.0,0.14478570614751787,0.99,3803045.0,526688.0,377233.0,2149093.0,88128.0,118884.0,117950.0,0.0,0.93,4.976397966594045,2.173118333838027,17.220373039423485,0.53094160589282
2021,3617,碩天,2113437.0,0.018116934642480473,0.42,809510.0,813590.0,822709.0,635588.0,868112.0,859269.0,968694.0,2.9,0.62,-0.06280526015076393,-0.04254779353147853,-0.3438712328144904,1.0216150024727457
2021,2731,雄獅,380628.0,-0.18778439841525058,-0.88,730152.0,60534.0,101612.0,83375.0,198588.0,392472.0,321722.0,-2.43,-2.19,-0.6951779563719862,-0.7410974540858966,-0.7408476883769217,0.8493563747313901
2021,6235,華孚,662700.0,0.0465489663497812,0.18,1708997.0,224291.0,208783.0,225809.0,145895.0,164488.0,187621.0,0.06,0.1,0.5373453511086741,0.26929016098438785,0.20353798348798913,0.8256376227169939
2021,3311,閎暉,406684.0,0.03356906099084302,0.2,680000.0,142058.0,152255.0,158786.0,142254.0,150634.0,159444.0,0.22,0.2,-0.0013778171439818854,0.010761182734309704,-0.0041268407716815725,1.0121557482766652
