year,symbol,name,q2_rev,q2_margin,q2_eps,capital,rev_m7,rev_m8,rev_m9,ly_q3_eps,target_eps,est_q3_rev_t1,est_q3_rev_t2,est_q3_rev_t3
2021,5608,四維航,1217494.0,0.38487499733058234,1.78,2792671.0,489399.0,540308.0,625229.0,-0.33,3.01,1468197.0,1544560.5,1654936.0
2021,1339,昭輝,464729.0,-0.010242528441306653,-0.05,741389.0,159753.0,168902.0,132849.0,0.52,0.32,479259.0,492982.5,461504.0
2021,2606,裕民,3371534.0,0.3061813999206296,1.22,8450557.0,1384918.0,1264382.0,1459377.0,0.88,2.1,4154754.0,3973950.0,4108677.0
2021,2364,倫飛,235862.0,0.0375388998651754,0.05,1959324.0,74986.0,77875.0,90343.0,0.14,0.8,224958.0,229291.5,243204.0
2021,1718,中纖,,,-0.09,16213672.0,2880141.0,2735907.0,2660048.0,1.94,0.06,8640423.0,8424072.0,8276096.0
2021,2536,宏普,53262.0,-0.8770793436220945,-0.14,3328087.0,14679.0,14277.0,22220.0,0.4,-0.08,44037.0,43434.0,51176.0
2021,3607,谷崧,954016.0,-0.12234910106329454,-0.91,1216622.0,270560.0,284646.0,360255.0,-0.67,0.12,811680.0,832809.0,915461.0
2021,2495,普安,311235.0,0.010387649203977702,0.02,2735515.0,78501.0,100707.0,98023.0,0.03,0.09,235503.0,268812.0,277231.0
2021,3653,健策,2169327.0,0.12168520467407634,2.13,1222194.0,783509.0,765410.0,773555.0,1.58,3.21,2350527.0,2323378.5,2322474.0
2021,2431,聯昌,385331.0,-0.06493118902969136,-0.22,1109270.0,103085.0,113768.0,104581.0,0.33,-0.19,309255.0,325279.5,321434.0
2021,2496,卓越,152502.0,0.05686482800225571,0.47,191854.0,54171.0,62106.0,58082.0,1.65,1.23,162513.0,174415.5,174359.0
2021,1603,華電,463147.0,0.10785344609810708,0.31,1916880.0,143362.0,174638.0,359057.0,1.55,0.64,430086.0,477000.0,677057.0
2021,6177,達麗,2641863.0,0.14478570614751787,0.99,3803045.0,526688.0,377233.0,2149093.0,0.0,0.93,1580064.0,1355881.5,3053014.0
2021,3617,碩天,2113437.0,0.018116934642480473,0.42,809510.0,813590.0,822709.0,635588.0,2.9,0.62,2440770.0,2454448.5,2271887.0
2021,2731,雄獅,380628.0,-0.18778439841525058,-0.88,730152.0,60534.0,101612.0,83375.0,-2.43,-2.19,181602.0,243219.0,245521.0
2021,6235,華孚,662700.0,0.0465489663497812,0.18,1708997.0,224291.0,208783.0,225809.0,0.06,0.1,672873.0,649611.0,658883.0
2021,3311,閎暉,406684.0,0.03356906099084302,0.2,680000.0,142058.0,152255.0,158786.0,0.22,0.2,426174.0,441469.5,453099.0
2021,1402,遠東新,58493983.0,0.07790572237147879,0.71,53528751.0,19058851.0,19327770.0,20059024.0,0.6,0.45,57176553.0,57579931.5,58445645.0
2021,1806,冠軍,824089.0,-0.01951852287799012,-0.04,4337821.0,304242.0,304326.0,291124.0,0.05,2.62,912726.0,912852.0,899692.0
2021,1702,南僑,4926650.0,0.05587123095815615,1.04,2941330.0,1492597.0,1662626.0,1757618.0,1.35,1.03,4477791.0,4732834.5,4912841.0
2021,6446,藥華藥,86762.0,-6.231737396556096,-2.08,2635393.0,33618.0,30766.0,27678.0,-2.53,-2.7,100854.0,96576.0,92062.0
2021,2373,震旦行,3395111.0,0.10859055860029318,1.49,2362025.0,1167614.0,1078680.0,1129244.0,2.21,1.78,3502842.0,3369441.0,3375538.0
2021,6226,光鼎,238000.0,0.05480252100840336,0.15,1149518.0,79770.0,71152.0,116441.0,-0.06,0.08,239310.0,226383.0,267363.0
2021,3437,榮創,992209.0,0.03256874307731537,0.22,1445480.0,301957.0,300291.0,315526.0,0.39,-0.1,905871.0,903372.0,917774.0
2021,8422,可寧衛*,593990.0,0.44399905722318556,2.43,1088880.0,222122.0,263766.0,276644.0,3.01,2.58,666366.0,728832.0,762532.0
2021,6142,友勁,624547.0,-0.2698275710234778,-0.51,3307792.0,211041.0,171532.0,152567.0,-0.31,-0.65,633123.0,573859.5,535140.0
2021,1722,台肥,2610836.0,0.2912178321426547,0.78,9800000.0,901496.0,996228.0,1171517.0,0.51,0.8,2704488.0,2846586.0,3069241.0
2021,2014,中鴻,13397363.0,0.17024439809535652,1.59,14355444.0,5201624.0,5341704.0,5091940.0,0.17,1.02,15604872.0,15814992.0,15635268.0
2021,8473,山林水,867754.0,0.0009691686814465851,-0.21,1348123.0,268317.0,239911.0,305603.0,0.19,0.35,804951.0,762342.0,813831.0
2021,3704,合勤控,6084387.0,0.060349875837943906,0.83,4485238.0,1881295.0,2175800.0,2267408.0,0.88,0.98,5643885.0,6085642.5,6324503.0
2021,1708,東鹼,1147618.0,0.11363275933280935,0.57,2284419.0,390366.0,403997.0,426915.0,0.24,0.52,1171098.0,1191544.5,1221278.0
2021,6589,台康生技,372415.0,-0.39660056657223797,-0.63,2436287.0,403866.0,173837.0,78908.0,-0.19,1.54,1211598.0,866554.5,656611.0
2021,2727,王品,3673251.0,-0.06403210670874383,-2.78,769879.0,1038113.0,1412361.0,1296139.0,3.64,-1.45,3114339.0,3675711.0,3746613.0
2021,2497,怡利電,530331.0,-0.018267836502109062,-0.09,1187985.0,191381.0,180444.0,201207.0,-0.02,0.07,574143.0,557737.5,573032.0
2021,2020,美亞,1669210.0,0.10404442820256289,0.78,2225261.0,617158.0,595807.0,656789.0,0.75,0.87,1851474.0,1819447.5,1869754.0
2021,6625,必應,84822.0,-0.8440381033222513,-1.6,448734.0,5772.0,43987.0,38474.0,0.56,-0.92,17316.0,74638.5,88233.0
2021,2006,東和鋼鐵,14935680.0,0.10077351684021083,1.37,10898714.0,4932499.0,4606354.0,4669117.0,0.79,1.31,14797497.0,14308279.5,14207970.0
2021,2450,神腦,6615724.0,0.016342126727173018,0.42,2582527.0,2367247.0,2384301.0,2616877.0,0.51,0.61,7101741.0,7127322.0,7368425.0
2021,2528,皇普,464108.0,0.12393451524214191,0.18,3299974.0,136494.0,24601.0,14997.0,-0.31,0.05,409482.0,241642.5,176092.0
2021,2434,統懋,40624.0,-0.10400256006301693,-0.14,370000.0,13151.0,14297.0,10851.0,-2.26,-0.33,39453.0,41172.0,38299.0
2021,2013,中鋼構,3500605.0,0.02510137533369232,0.44,2000000.0,1492706.0,1404325.0,1308938.0,0.55,0.63,4478118.0,4345546.5,4205969.0
2021,2402,毅嘉,1646829.0,0.02993814172570437,0.17,3075366.0,558712.0,545468.0,505797.0,0.24,0.27,1676136.0,1656270.0,1609977.0
