year,symbol,name,q2_revenue,q2_gross_margin,q2_operating_margin,q2_net_margin,q2_eps,q2_capital,q2_retained_earnings,q3_revenue_actual,target_q3_eps,q3_eps_ly,rev_growth_q3_vs_q2,naive_pred_eps
2020,2890,永豐金,,,,,0.29,112710541.0,29350974.0,10810242.0,0.32,,,
2020,1323,永裕,894486.0,0.2647319242559414,0.14791511549649744,0.12076209130159667,1.01,912745.0,1227599.0,834324.0,0.65,,-0.06725873853811015,1.1038648369819977
2020,2247,汎德永業,10191747.0,0.11647051285711861,0.03646205110860778,0.033413407927021736,4.74,717407.0,5637843.0,10328425.0,9.89,,0.013410654718960302,4.810489412127976
2020,6605,帝寶,2685600.0,0.1738829311885612,0.014254170390229371,-0.032109770628537385,-0.49,1658164.0,8775957.0,3799420.0,1.42,,0.4147378611855823,-0.735744502482731
2020,2207,和泰車,,,,,5.94,5461792.0,48161558.0,55951998.0,6.62,,,
2020,8101,華冠,599891.0,-0.01121703776186007,-0.2771970241260496,-0.20656752643396883,-0.59,2080888.0,-1234601.0,1115556.0,-0.86,,0.8595978269385605,-1.1074005113133074
2020,2356,英業達,148757797.0,0.04056571905269611,0.013644837722354815,0.010210167336640512,0.46,35874751.0,18313170.0,145380375.0,0.54,,-0.022704167903212502,0.41376118714065746
2020,2387,精元,5204147.0,0.1679887213024536,0.10569493905533414,0.08045429923482177,2.11,1962980.0,5381030.0,6508364.0,2.58,,0.25061109918686,2.667504838486085
2020,2880,華南金,,,,,0.23,128547788.0,26531426.0,11674916.0,0.27,,,
2020,2536,宏普,1026408.0,0.308169850585732,0.25736646635645866,0.19516020919556357,0.6,3328087.0,6545015.0,1388803.0,0.4,,0.3530710984325922,0.8143990346749537
2020,3419,譁裕,461256.0,0.21142922802088213,0.002066097785177862,0.02707607055517977,0.11,1204804.0,64123.0,413293.0,0.95,,-0.10398347121771856,0.09288108628425797
2020,2027,大成鋼,12046476.0,0.13324651956306557,-0.01674788543969207,-0.05311711076334689,-0.59,12584659.0,3697928.0,14570881.0,-0.07,,0.20955547497874072,-0.6150052218312365
2020,5007,三星,787971.0,0.1636468854818261,0.06634000489865743,0.10322461105802117,0.28,2949401.0,2567381.0,1331948.0,0.43,,0.6903515484706924,0.46616182150039687
2020,2850,新產,4073086.0,,0.12350561711684949,0.11841488247486058,1.53,3159633.0,7756431.0,4425063.0,1.71,,0.08641531261554514,1.6583992985541487
2020,8464,億豐,6003888.0,0.579489990486165,0.3051815756722977,0.20923708103815394,4.12,2930202.0,6007574.0,6988817.0,5.04,,0.1640485298859673,4.9905080570889915
2020,1444,力麗,1667662.0,0.019822362085362623,-0.05869114964543175,0.05734015645856295,0.01,9573029.0,376910.0,1951060.0,-0.16,,0.16993731343641572,0.11686383239833895
2020,6128,上福,714339.0,0.32597968191572907,-0.18646748952528142,-0.0316572383700176,-0.18,1275887.0,654278.0,1031364.0,0.39,,0.4438018923788285,-0.25590147085325604
2020,2427,三商電,693454.0,0.37511356196661927,0.07583343668073153,0.07661358936569693,0.29,1843145.0,213982.0,725934.0,0.25,,0.04683800223230383,0.30174733611624605
2020,2114,鑫永銓,384990.0,0.34186082755396247,0.2542559547001221,0.20996389516610822,1.14,709016.0,1241668.0,398980.0,1.22,,0.03633860619756368,1.1815162830369674
2020,5469,瀚宇博,11704182.0,0.22165009054028723,0.129375551405472,0.09398683308239739,1.7,5284413.0,9773863.0,12607921.0,2.4,,0.07721505014190644,2.242403397582764
2020,2408,南亞科,16489357.0,0.3057833607459648,0.19583389455392347,0.1952921511736328,1.05,31259274.0,92005638.0,15323867.0,0.53,,-0.07068134918784275,0.9573577910762237
2020,1587,吉茂,373402.0,0.2626606177792299,0.042752850814939396,0.25747853519799035,1.46,663566.0,270542.0,512397.0,0.57,,0.3722395702219057,1.988215625873608
2020,3050,鈺德,229332.0,0.39439328135628693,0.18310135524043744,0.2914159384647585,0.41,1459845.0,320220.0,260816.0,0.35,,0.13728568189349932,0.5206438999114594
2020,2376,技嘉,20908229.0,0.16826240998221323,0.05274573948850474,0.05536346478699846,1.84,6356889.0,13875986.0,22995403.0,2.24,,0.09982548019729465,2.0027173421674322
2020,1435,中福,3819.0,0.9266823775857554,-1.1432312123592563,1.0882429955485728,0.03,1397801.0,-134237.0,3811.0,-0.09,,-0.0020947892118355904,0.02967013227230207
2020,1539,巨庭,489625.0,0.11091549655348482,0.06512739341332653,-0.0214000510594843,-0.16,653700.0,634677.0,621197.0,-0.18,,0.26871993872861877,-0.20336006605474174
2020,2344,華邦電,12752595.0,0.293130143315929,0.06867621844808841,0.06573195494720878,0.18,39800002.0,9256048.0,16033721.0,0.08,,0.2572908494310373,0.2648059732278695
2020,3014,聯陽,1155713.0,0.5190804291376838,0.2337838200314438,0.20341122752794163,1.47,1610801.0,934385.0,1459321.0,2.06,,0.26270189917392983,1.8428240109566811
2020,3708,上緯投控,2357982.0,0.19354939944410093,0.09951941957148104,0.1171980956597633,2.73,935046.0,1581020.0,3006765.0,2.41,,0.27514332170474587,3.768660922526038
2020,2465,麗臺,1067332.0,0.13990117414262854,0.023688974002465963,0.011827622520452868,0.25,535873.0,-237159.0,1175849.0,-0.11,,0.10167127004530929,0.25952974143224206
2020,1313,聯成,12192568.0,0.1153370643493643,0.07139275335597882,0.052129543177450395,0.47,13323476.0,3942136.0,14002001.0,0.81,,0.14840458548191005,0.5478434574432405
2020,2528,皇普,63.0,-0.36507936507936506,-1573.4603174603174,-1606.5079365079366,-0.36,2770854.0,-438922.0,63.0,-0.31,,0.0,-0.3652664485389703
2020,4106,雃博,508288.0,0.44032910475950643,0.11860598715688743,0.10915268509191639,0.55,1009116.0,867095.0,524900.0,0.28,,0.03268225887685716,0.5677666829655551
2020,3090,日電貿,2458509.0,0.17904591766798494,0.10682531566896847,0.0670223293874458,0.87,1786572.0,1482424.0,2414359.0,1.0,,-0.017958038795058306,0.9057343569559146
