year,symbol,name,q2_rev,q2_margin,q2_eps,capital,ly_q2_eps,ly_q3_eps,ly_q2_margin,ly_q3_margin,rev_m7,rev_m8,rev_m9,q3_rev_total,target_eps,margin_seasonality_ratio,eps_seasonality_ratio,rev_trend_m8_m7,rev_trend_m9_m8,pred_eps_seasonal
2021,5880,合庫金,13450757.0,0.3877312630062382,0.39,133342237.0,0.28,0.32,0.29671918501817385,0.30154018436455593,5378780.0,5433338.0,4258318.0,15070436.0,0.44,1.0162476832972118,1.1428571428571428,0.010143192322422667,-0.21626116394746653,0.4453366815751667
2021,3545,敦泰,5772267.0,0.3649087957989469,10.46,2163561.0,0.38,1.02,0.03853091274882606,0.0721493135531679,2019215.0,2135950.0,2117257.0,6272422.0,9.03,1.8725046568061408,2.6842105263157894,0.05781207053236037,-0.008751609354151535,19.809493129936296
2021,1460,宏遠,2205415.0,0.01799343887658332,0.12,3946434.0,-0.46,0.02,-0.18917420579547464,0.005194073843315101,692595.0,920232.0,950028.0,2562855.0,0.11,-0.027456564817989325,-0.043478260869565216,0.32867260087063865,0.03237879143520339,-0.0032083339334493524
2021,3607,谷崧,954016.0,-0.11539743568242042,-0.91,1216622.0,-0.97,-0.67,-0.1664359988386744,-0.0911472217452988,270560.0,284646.0,360255.0,915461.0,0.12,0.547641269805142,0.6907216494845362,0.052062389118864516,0.2656246706435361,-0.47552845420480094
2021,9939,宏全,5929020.0,0.12252581370951691,2.52,2877859.0,1.84,2.31,0.10093124008685828,0.1191509620993135,2081826.0,1864782.0,1554507.0,5501115.0,1.79,1.1805161810830413,1.2554347826086956,-0.10425655170028614,-0.1663867411847605,2.7649084232282366
2021,3443,創意,3300837.0,0.06655948173145175,1.64,1340119.0,0.27,0.8,0.012560142517522563,0.03016928901109303,1224453.0,1046434.0,1313965.0,3584852.0,3.11,2.4019862011122943,2.962962962962963,-0.14538655219922691,0.2556596976015688,4.2766952649429575
2021,2524,京城,2074655.0,0.21215913007222886,1.19,3731455.0,0.76,1.44,0.1293936960358619,0.21948531958678866,467893.0,359430.0,197891.0,1025214.0,0.75,1.6962597584812598,1.894736842105263,-0.23181154665703485,-0.4494310435968061,0.9887588977521755
2021,4426,利勤,167442.0,-0.6924487285149484,-0.68,1726773.0,-0.42,-0.21,-0.32073298478952283,-0.11825591340008039,43511.0,39970.0,24897.0,108378.0,-0.57,0.3687051815942299,0.5,-0.08138171956516738,-0.3771078308731549,-0.1602406677591012
2021,6116,彩晶,8066588.0,0.34006608494198537,0.91,30271869.0,-0.12,0.52,-0.10553584866860928,0.3021725249957335,2334991.0,2119586.0,1659038.0,6113615.0,0.45,-2.8632216332914378,-4.333333333333334,-0.09225089090279148,-0.2172820541369871,-1.9664238767284004
2021,4722,國精化,1163705.0,0.09799304806630546,1.16,1000092.0,0.62,0.72,0.07281551682917378,0.07635239996750734,399863.0,404410.0,383266.0,1187539.0,0.83,1.048573206541006,1.161290322580645,0.011371394702685667,-0.052283573601048405,1.2201183277155083
2021,6416,瑞祺電通,1118301.0,0.03811049082492102,0.58,731889.0,1.48,1.44,0.06941599348014031,0.07579591121758553,338551.0,300152.0,418720.0,1057423.0,0.62,1.0919084697573405,0.9729729729729729,-0.11342161151495633,0.39502651989658566,0.6012212322938445
2021,1612,宏泰,1616074.0,0.11177334701257492,0.58,3160801.0,0.49,0.81,0.13002216930369262,0.23674909702783398,520618.0,631737.0,575841.0,1728196.0,0.36,1.820836387330682,1.653061224489796,0.2134367232788723,-0.08847985791555668,1.1127690070151348
2021,1474,弘裕,809333.0,0.05812193497608525,0.36,1298970.0,0.16,0.21,0.033949778892827555,0.03671396548435405,319317.0,318031.0,325217.0,962565.0,0.26,1.0814198702222027,1.3125,-0.004027345866333465,0.022595281592046046,0.46576339581508613
2021,1718,中纖,7779877.0,-0.01608187378797891,-0.09,16213672.0,-0.18,1.94,-0.036407482360353384,0.2478186839741918,2880141.0,2735907.0,2660048.0,8276096.0,0.06,-6.806806400984723,-10.777777777777779,-0.05007879822550354,-0.027727185171133373,0.5587585538127829
2021,4906,正文,6524004.0,0.027769449558890522,0.51,3629215.0,0.43,3.46,0.026781551332265174,0.18237763613157162,1752854.0,2004380.0,1779943.0,5537177.0,0.27,6.8098234440904655,8.046511627906977,0.14349512281114118,-0.11197327852004113,2.8852193267388073
2021,2395,研華,14209687.0,0.1259720217623372,2.31,7727295.0,3.29,2.05,0.16461493651560344,0.14876759895572755,4864453.0,5151975.0,5490436.0,15506864.0,2.95,0.9037308649183621,0.6231003039513677,0.05910674848744546,0.06569538866162983,2.2845975151319866
2021,4739,康普,1824815.0,0.06223315788175788,1.14,1030293.0,0.05,0.77,0.003275217225517001,0.048592046791978316,607178.0,616595.0,660216.0,1883989.0,1.42,14.836282129136624,15.4,0.015509455217415757,0.07074497847047079,16.883579836261486
2021,2457,飛宏,2823470.0,-0.039471643049155826,-0.33,3376884.0,-0.1,0.06,-0.013869049217848949,0.007875784725645174,1112896.0,956218.0,1075036.0,3144150.0,-0.04,-0.5678676744119802,-0.6,-0.14078404451089765,0.12425827583249838,0.2086985668794771
2021,2901,欣欣,17767.0,-0.1960938819159115,-0.05,730433.0,0.01,0.06,0.04245187024298913,0.17227575982209042,4808.0,6422.0,7680.0,18910.0,-0.02,4.058142994313461,6.0,0.3356905158069883,0.19588913111180317,-0.20601675058752453
2021,2615,萬海,48016871.0,0.3955876258575866,8.57,24401273.0,0.75,0.81,0.1029971190876904,0.09135600336791638,20300252.0,24663059.0,25764019.0,70727330.0,13.18,0.8869762977558341,1.08,0.21491393308812134,0.044640042421339565,10.170199974898251
2021,2472,立隆電,2448567.0,0.10057637793860653,1.54,1603780.0,1.62,1.66,0.10229469367380996,0.10542500099194156,883567.0,917062.0,893537.0,2694166.0,1.69,1.0306008767973176,1.0246913580246912,0.03790883996346617,-0.025652573108470356,1.7412697554571395
2021,3032,偉訓,2143368.0,0.044897563087626574,0.85,1132856.0,1.19,1.51,0.06461661072059552,0.06013603760657074,616461.0,622145.0,629607.0,1868213.0,0.68,0.9306591128185455,1.2689075630252102,0.009220372416097744,0.01199398853964917,0.6890727635348716
