symbol,name,q2_rev,q2_margin,q2_eps,capital,q3_rev_total,target_eps,naive_pred_eps
6115,鎰勝,1954608.0,0.08611547686287992,0.93,1876622.0,1955054.0,0.8,0.8971460821768094
1437,勤益控,191646.0,1.1335117873579412,1.06,2033713.0,269052.0,0.88,1.4995902244428236
3231,緯創,240206609.0,0.029446733499326822,1.55,28968371.0,272914678.0,1.47,2.774213914590017
1474,弘裕,798632.0,0.027474481363130954,0.17,1298970.0,760260.0,-0.01,0.1608023988324129
9905,大華,2199033.0,0.05206697671203661,0.38,3050000.0,2467989.0,0.6,0.42131385504446733
1220,台榮,812847.0,0.09690015464164843,0.43,1770779.0,834595.0,0.34,0.4567051256150348
6834,天二科技,332836.0,0.08610246487759737,0.33,884711.0,347520.0,0.2,0.33821585347376304
3308,聯德,34029.0,0.08748420464897587,0.05,600000.0,1009.0,0.54,0.0014711927081802775
3266,昇陽,259105.0,-0.16283360027787963,-0.12,3523143.0,508471.0,0.13,-0.23500653696683257
6168,宏齊,491843.0,-0.019329338833733528,0.01,2060698.0,524169.0,0.04,-0.04916703081741852
6206,飛捷,1206180.0,0.21413553532640237,1.87,1430623.0,1097104.0,1.32,1.642144382892889
6184,大豐電,534412.0,0.2340927973174255,0.85,1582306.0,526803.0,1.04,0.779373824691379
1324,地球,205605.0,0.005539748546971134,0.02,751219.0,182484.0,-0.03,0.0134570008725216
2642,宅配通,1003409.0,0.012353885603976046,0.13,954670.0,1018223.0,0.01,0.13176291767141843
2520,冠德,10344329.0,0.24163355593195074,4.4,5541701.0,7003612.0,2.51,3.05376936057662
6235,華孚,1662596.0,0.12133915876135874,1.04,1941702.0,1367587.0,0.65,0.8546206169276764
6505,台塑化,170616350.0,0.01595784343059736,0.28,95259597.0,173189705.0,-0.32,0.29012658915419776
1727,中華化,535363.0,0.0512250566438099,0.23,1239394.0,590894.0,0.23,0.24422079355303808
2388,威盛,2959012.0,0.031934307802739564,0.13,5003312.0,5287992.0,0.59,0.3375131596558927
3443,創意,6719781.0,0.13503297205667864,6.78,1340119.0,6611397.0,7.71,6.661770979716048
2906,高林,2305633.0,0.04170134622465935,0.12,2091167.0,2221882.0,0.04,0.4430802061831435
4994,傳奇,384772.0,0.08018774754919797,0.47,663834.0,400438.0,1.19,0.48370859662363996
1736,喬山,10307812.0,0.028320268161662242,0.97,3036166.0,12075968.0,1.57,1.1264030098211102
1611,中電,302663.0,0.15657017871361878,0.14,3227358.0,277326.0,0.11,0.13454033107555172
1465,偉全,117870.0,0.17985068295579876,0.21,1036073.0,143944.0,-0.15,0.2498706819634282
1410,南染,54429.0,0.11201749067592644,0.11,630000.0,66052.0,0.09,0.11744411577978243
6449,鈺邦,818100.0,0.12242024202420242,1.21,889535.0,921494.0,1.33,1.268185270999459
1441,大東,436413.0,0.43990211107368477,2.94,717444.0,519349.0,0.09,3.184397966726422
2739,寒舍,1149459.0,0.306193609341438,3.85,1015260.0,1126982.0,-0.98,3.3988799543253205
5706,鳳凰,848785.0,0.072827630083001,0.67,810815.0,841839.0,1.34,0.7561421444033902
2706,第一店,83094.0,1.2713794016415145,0.21,4999984.0,97146.0,0.28,0.24701963716657208
2424,隴華,23514.0,-2.664285106744918,-1.08,562750.0,26321.0,-0.83,-1.246142128736259
6670,復盛應用,6142405.0,0.12858009199979487,5.56,1348273.0,7029555.0,6.09,6.703841348284939
8926,台汽電,2382796.0,0.1706902311402235,0.56,7302820.0,2120601.0,0.34,0.4956521930517103
6743,安普新,1808832.0,0.05946102236139122,0.72,1500000.0,2464608.0,1.79,0.9769874093337578
3138,耀登,419242.0,0.1013424227534455,0.86,502934.0,470844.0,1.04,0.9487620979874752
1732,毛寶,152387.0,0.033388674886965425,0.12,424439.0,143432.0,0.08,0.11283139429664155
4771,望隼,729770.0,0.26429422968880606,2.99,578867.0,742445.0,2.48,3.389792981139115
1516,川飛,252451.0,0.041726909380434225,0.27,400083.0,50517.0,-0.38,0.05268702447170701
1339,昭輝,441967.0,0.1941954942337324,1.22,741239.0,475788.0,1.05,1.246505996183135
4583,台灣精銳,748835.0,0.38661253814258145,3.61,801714.0,758747.0,3.14,3.658924547632563
4426,利勤,236434.0,-0.23933106067655244,-0.33,1726773.0,231830.0,-0.61,-0.32131681348182506
4722,國精化,1106894.0,0.06145213543482935,0.68,1000092.0,1058656.0,0.55,0.6505068722766976
1541,錩泰,811565.0,0.03739934570860005,0.38,788000.0,716447.0,-0.21,0.34003361719402764
5531,鄉林,196547.0,-2.589161879855709,-0.44,9775892.0,1062219.0,0.25,-2.813305366772108
3550,聯穎,869071.0,-0.005042165714884054,-0.05,875500.0,846380.0,-0.85,-0.048744582727168084
5519,隆大,724455.0,0.1438874740322035,0.47,2191972.0,490337.0,0.18,0.32187159486767425
2495,普安,321281.0,0.482895035809774,0.57,2735515.0,301092.0,0.67,0.5315117340684897
1308,亞聚,1494815.0,-0.04812568779414175,-0.12,5937438.0,1422344.0,-0.36,-0.11528757568478315
4545,銘鈺,640604.0,0.12592803042128992,1.05,770000.0,656904.0,0.65,1.074319829816455
2903,遠百,7848419.0,0.08153514739720191,0.38,14169406.0,7690487.0,0.31,0.4425344231799591
1466,聚隆,695684.0,0.009252764186038489,0.06,1111573.0,806050.0,-0.01,0.06709582341561304
1104,環泥,2092080.0,0.1895611066498413,0.55,6866818.0,1872787.0,0.69,0.5169899307647826
6196,帆宣,15399089.0,0.02341833338322806,1.84,2013154.0,15611776.0,2.68,1.8160646183663973
9944,新麗,630847.0,-0.052924084603715324,-0.35,1091071.0,491296.0,-0.84,-0.23831071552141816
4572,駐龍,212886.0,0.34086788234078336,1.87,390000.0,223359.0,1.54,1.952202803378334
6706,惠特,169049.0,-0.7268898366745736,-1.67,735769.0,212980.0,-1.36,-2.104097854285118
2901,欣欣,32584.0,0.2084765529094034,0.09,730433.0,33808.0,0.11,0.09649311163051381
3607,谷崧,779844.0,0.04694015726222168,0.29,1216622.0,851276.0,-0.17,0.3284424358063147
2945,三商家購,3481351.0,0.006160539399790483,0.4,675000.0,3751248.0,0.64,0.3423660904057074
1708,東鹼,1619593.0,0.17849916614853237,1.16,2490017.0,1620737.0,1.17,1.1618402727614867
2338,光罩,1997876.0,-0.15997839705767525,-1.15,2564465.0,1795916.0,-0.96,-1.1203419150982055
3004,豐達科,866323.0,0.10877467180254939,1.73,546222.0,868212.0,1.3,1.7289577379716492
5876,上海商銀,,,0.31,48616031.0,12882070.0,0.98,
5269,祥碩,2106353.0,0.44425269648534693,13.17,746624.0,2126812.0,13.06,12.654856606771196
1529,樂事綠能,207366.0,0.21619744799050952,0.26,1550951.0,152202.0,-0.06,0.21216456212382936
2355,敬鵬,4168378.0,0.08153051378737725,0.85,3974954.0,4065192.0,0.66,0.8338139067881933
2316,楠梓電,743874.0,0.23664088273013978,0.97,1827405.0,856373.0,1.04,1.1089652412369344
1234,黑松,2279220.0,0.10955677819604953,0.62,4018711.0,3057114.0,0.91,0.8334203689144051
8103,瀚荃,802655.0,0.14196011985224039,1.41,868020.0,883187.0,0.57,1.4444060317958185
3432,台端,8526.0,-0.8499882711705372,-0.18,422300.0,17453.0,-0.23,-0.35128688839070293
2377,微星,46672024.0,0.04515210225294707,2.49,8448562.0,52086539.0,2.05,2.7836887921638214
